Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=Location Region	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	source_count	source_weight	sampling_probability
Mobile Home	Electricity	CR02	0.739653	0	0.191046	0	0.0693008	69	189530	0
Multi-Family with 2 - 4 Units	Electricity	CR02	0.696302	0	0.256737	0	0.0469612	64	233174	0
Multi-Family with 5+ Units	Electricity	CR02	0.696302	0	0.256737	0	0.0469612	64	233174	0
Single-Family Attached	Electricity	CR02	0.687699	0	0.312301	0	0	11	57761.7	0
Single-Family Detached	Electricity	CR02	0.739653	0	0.191046	0	0.0693008	69	189530	0
Mobile Home	Electricity	CR03	0.77551	0	0.22449	0	0	21	52162.8	0
Multi-Family with 2 - 4 Units	Electricity	CR03	0.554057	0	0.418893	0	0.0270503	49	150852	0
Multi-Family with 5+ Units	Electricity	CR03	0.554057	0	0.418893	0	0.0270503	49	150852	0
Single-Family Attached	Electricity	CR03	1	0	0	0	0	8	25838.7	0
Single-Family Detached	Electricity	CR03	0.77551	0	0.22449	0	0	21	52162.8	0
Mobile Home	Electricity	CR04	0.880418	0	0.110287	0	0.00929474	79	636584	0
Multi-Family with 2 - 4 Units	Electricity	CR04	0.855783	0	0.0726529	0.0373645	0.0341999	58	570179	0
Multi-Family with 5+ Units	Electricity	CR04	0.855783	0	0.0726529	0.0373645	0.0341999	58	570179	0
Single-Family Attached	Electricity	CR04	0.388368	0	0.611632	0	0	5	73561.1	0
Single-Family Detached	Electricity	CR04	0.880418	0	0.110287	0	0.00929474	79	636584	0
Mobile Home	Electricity	CR05	0.775986	0	0.160854	0	0.0631601	32	212048	0
Multi-Family with 2 - 4 Units	Electricity	CR05	0.726054	0	0.227529	0	0.0464165	20	73616.6	0
Multi-Family with 5+ Units	Electricity	CR05	0.726054	0	0.227529	0	0.0464165	20	73616.6	0
Single-Family Attached	Electricity	CR05	0.451221	0	0.548779	0	0	5	24392.1	0
Single-Family Detached	Electricity	CR05	0.775986	0	0.160854	0	0.0631601	32	212048	0
Mobile Home	Electricity	CR06	0.903754	0	0.0442919	0	0.0519543	113	584276	0
Multi-Family with 2 - 4 Units	Electricity	CR06	0.930794	0	0.0692058	0	0	80	453600	0
Multi-Family with 5+ Units	Electricity	CR06	0.930794	0	0.0692058	0	0	80	453600	0
Single-Family Attached	Electricity	CR06	0.872211	0	0.127789	0	0	11	79878.5	0
Single-Family Detached	Electricity	CR06	0.903754	0	0.0442919	0	0.0519543	113	584276	0
Mobile Home	Electricity	CR07	0.874198	0.0237403	0.0668966	0	0.0351654	53	362265	0
Multi-Family with 2 - 4 Units	Electricity	CR07	0.709532	0.0553523	0.235116	0	0	66	466851	0
Multi-Family with 5+ Units	Electricity	CR07	0.709532	0.0553523	0.235116	0	0	66	466851	0
Single-Family Attached	Electricity	CR07	0.865223	0	0.134777	0	0	27	305985	0
Single-Family Detached	Electricity	CR07	0.874198	0.0237403	0.0668966	0	0.0351654	53	362265	0
Mobile Home	Electricity	CR08	0.866691	0.00222317	0.11623	0	0.014856	506	2.17569e+06	0
Multi-Family with 2 - 4 Units	Electricity	CR08	0.846497	0	0.153503	0	0	204	844284	0
Multi-Family with 5+ Units	Electricity	CR08	0.846497	0	0.153503	0	0	204	844284	0
Single-Family Attached	Electricity	CR08	0.918678	0	0.0640682	0	0.0172535	70	545550	0
Single-Family Detached	Electricity	CR08	0.866691	0.00222317	0.11623	0	0.014856	506	2.17569e+06	0
Mobile Home	Electricity	CR09	0.868733	0	0.10107	0.0035469	0.0266496	1365	6.58949e+06	0
Multi-Family with 2 - 4 Units	Electricity	CR09	0.91884	0	0.0778122	0.00334757	0	509	2.43297e+06	0
Multi-Family with 5+ Units	Electricity	CR09	0.91884	0	0.0778122	0.00334757	0	509	2.43297e+06	0
Single-Family Attached	Electricity	CR09	0.861842	0	0.138158	0	0	100	695995	0
Single-Family Detached	Electricity	CR09	0.868733	0	0.10107	0.0035469	0.0266496	1365	6.58949e+06	0
Mobile Home	Electricity	CR10	0.710471	0	0.218325	0.00900311	0.0622006	104	529787	0
Multi-Family with 2 - 4 Units	Electricity	CR10	0.780762	0	0.219238	0	0	43	217661	0
Multi-Family with 5+ Units	Electricity	CR10	0.780762	0	0.219238	0	0	43	217661	0
Single-Family Attached	Electricity	CR10	0.892912	0	0.107088	0	0	10	87684.9	0
Single-Family Detached	Electricity	CR10	0.710471	0	0.218325	0.00900311	0.0622006	104	529787	0
Mobile Home	Electricity	CR11	0.26531	0	0.676459	0	0.0582308	162	574903	0.00167595
