Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Owner	Option=Renter	source_count	source_weight	sampling_probability
Mobile Home	CA, 03705	0.634068	0.365932	112	1861	0.00125431
Multi-Family with 2 - 4 Units	CA, 03705	0.240557	0.759443	49	1006	0.000665174
Multi-Family with 5+ Units	CA, 03705	0.0656443	0.934356	763	18128	0.0128677
Single-Family Attached	CA, 03705	0.728287	0.271713	223	3765	0.00257474
Single-Family Detached	CA, 03705	0.874124	0.125876	2245	35813	0.0246444
Mobile Home	CA, 03706	0.821948	0.178052	89	1376	0.000989782
Multi-Family with 2 - 4 Units	CA, 03706	0.140805	0.859195	32	696	0.000493211
Multi-Family with 5+ Units	CA, 03706	0.0733768	0.926623	375	8286	0.00593264
Single-Family Attached	CA, 03706	0.634354	0.365646	144	2352	0.00168055
Single-Family Detached	CA, 03706	0.820641	0.179359	1829	28875	0.02027
Mobile Home	CA, 03707	0.736672	0.263328	72	1238	0.000718335
Multi-Family with 2 - 4 Units	CA, 03707	0.121451	0.878549	57	1268	0.000736
Multi-Family with 5+ Units	CA, 03707	0.092918	0.907082	301	5747	0.00319879
Single-Family Attached	CA, 03707	0.53182	0.46818	124	2247	0.00131784
Single-Family Detached	CA, 03707	0.756828	0.243172	1528	25628	0.0142002
Mobile Home	CA, 03708	0.76771	0.23229	32	607	0.00049537
Multi-Family with 2 - 4 Units	CA, 03708	0.0992522	0.900748	77	1471	0.00104961
Multi-Family with 5+ Units	CA, 03708	0.0792398	0.92076	500	10260	0.00718149
Single-Family Attached	CA, 03708	0.585401	0.414599	131	2096	0.00148881
Single-Family Detached	CA, 03708	0.769139	0.230861	1669	26921	0.0195129
Mobile Home	CA, 03720	0.772087	0.227913	1154	21868	9.16916e-06
Multi-Family with 2 - 4 Units	CA, 03720	0.101101	0.898899	218	4540	0.000474943
Multi-Family with 5+ Units	CA, 03720	0.0952983	0.904702	793	18972	0.00205974
Single-Family Attached	CA, 03720	0.369122	0.630878	117	2403	0.000244446
Single-Family Detached	CA, 03720	0.772087	0.227913	1154	21868	0.00221465
Mobile Home	CA, 03721	0.732859	0.267141	807	14206	9.31531e-05
Multi-Family with 2 - 4 Units	CA, 03721	0.0788332	0.921167	212	4148	0.0030484
Multi-Family with 5+ Units	CA, 03721	0.0595004	0.9405	1562	32588	0.0234605
Single-Family Attached	CA, 03721	0.358191	0.641809	136	2454	0.00189546
Single-Family Detached	CA, 03721	0.732859	0.267141	807	14206	0.0101368
