Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Usage Level	Option=290 Rated kWh, 80% Usage	Option=290 Rated kWh, 100% Usage	Option=290 Rated kWh, 120% Usage	Option=318 Rated kWh, 80% Usage	Option=318 Rated kWh, 100% Usage	Option=318 Rated kWh, 120% Usage	Option=None	source_count	source_weight	sampling_probability
Mobile Home	CR11	Medium	0	0.0823681	0	0	0.0617647	0	0.855867	11.75	98519.8	0.0035716
Multi-Family with 2 - 4 Units	CR11	Medium	0	0.112192	0	0	0.12064	0	0.767167	35.25	258558	0.0448277
Multi-Family with 5+ Units	CR11	Medium	0	0.0889767	0	0	0.176064	0	0.734959	82.5	717917	0.234706
Single-Family Attached	CR11	Medium	0	0.23938	0	0	0.208288	0	0.552332	36	214175	0.0291682
Single-Family Detached	CR11	Medium	0	0.292821	0	0	0.150646	0	0.556533	236	1.76455e+06	0.187726
Mobile Home	CR11	Low	0.0823681	0	0	0.0617647	0	0	0.855867	11.75	98519.8	0.0017858
Multi-Family with 2 - 4 Units	CR11	Low	0.112192	0	0	0.12064	0	0	0.767167	35.25	258558	0.0224139
Multi-Family with 5+ Units	CR11	Low	0.0889767	0	0	0.176064	0	0	0.734959	82.5	717917	0.117353
Single-Family Attached	CR11	Low	0.23938	0	0	0.208288	0	0	0.552332	36	214175	0.0145841
Single-Family Detached	CR11	Low	0.292821	0	0	0.150646	0	0	0.556533	236	1.76455e+06	0.093863
Mobile Home	CR11	High	0	0	0.0823681	0	0	0.0617647	0.855867	11.75	98519.8	0.0017858
Multi-Family with 2 - 4 Units	CR11	High	0	0	0.112192	0	0	0.12064	0.767167	35.25	258558	0.0224139
Multi-Family with 5+ Units	CR11	High	0	0	0.0889767	0	0	0.176064	0.734959	82.5	717917	0.117353
Single-Family Attached	CR11	High	0	0	0.23938	0	0	0.208288	0.552332	36	214175	0.0145841
Single-Family Detached	CR11	High	0	0	0.292821	0	0	0.150646	0.556533	236	1.76455e+06	0.093863
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Downselected: This characteristic was downselected from project_national.
