Dependency=REEDS Balancing Area	Option=AZNMc	Option=CAMXc	Option=ERCTc	Option=FRCCc	Option=MROEc	Option=MROWc	Option=NEWEc	Option=NWPPc	Option=NYSTc	Option=RFCEc	Option=RFCMc	Option=RFCWc	Option=RMPAc	Option=SPNOc	Option=SPSOc	Option=SRMVc	Option=SRMWc	Option=SRSOc	Option=SRTVc	Option=SRVCc	source_count	source_weight	sampling_probability
1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	95087	1.99212e+06	0
10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311528	6.89311e+06	1
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11510	96425	0
101	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325046	5.585e+06	0
102	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113250	3.06324e+06	0
103	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	280751	4.12581e+06	0
104	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21982	277723	0
105	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	150593	1.49522e+06	0
106	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21888	536414	0
107	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	94590	799030	0
108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19248	163191	0
109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	91199	1.33957e+06	0
11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43415	1.18764e+06	0
110	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15373	138146	0
111	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	105828	2.09978e+06	0
112	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	200098	1.84203e+06	0
113	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	31769	493397	0
114	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	27649	711743	0
115	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	78201	1.12244e+06	0
116	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	87481	530409	0
117	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	47737	354319	0
118	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	72460	553704	0
119	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13322	118694	0
12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60017	336353	0
120	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7245	71290	0
121	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21139	207135	0
122	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	322777	4.27975e+06	0
123	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	130615	2.52148e+06	0
124	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6469	28382	0
125	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	24115	417927	0
126	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	169588	3.58644e+06	0
127	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	299150	7.15398e+06	0
128	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	51019	1.03759e+06	0
129	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32580	326812	0
13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24521	864164	0
130	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	48837	620729	0
131	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	157508	2.83666e+06	0
