Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Occupied	Option=Vacant	source_count	source_weight	sampling_probability
Mobile Home	CA, 03705	0.981023	0.0189773	113	1897	0.00125431
Multi-Family with 2 - 4 Units	CA, 03705	1	0	49	1006	0.000665174
Multi-Family with 5+ Units	CA, 03705	0.931504	0.068496	798	19461	0.0128677
Single-Family Attached	CA, 03705	0.966872	0.0331279	227	3894	0.00257474
Single-Family Detached	CA, 03705	0.960855	0.0391447	2294	37272	0.0246444
Mobile Home	CA, 03706	0.934148	0.065852	93	1473	0.000989782
Multi-Family with 2 - 4 Units	CA, 03706	0.948229	0.0517711	33	734	0.000493211
Multi-Family with 5+ Units	CA, 03706	0.938498	0.0615019	392	8829	0.00593264
Single-Family Attached	CA, 03706	0.940424	0.0595762	151	2501	0.00168055
Single-Family Detached	CA, 03706	0.957203	0.0427965	1880	30166	0.02027
Mobile Home	CA, 03707	0.922504	0.0774963	76	1342	0.000718335
Multi-Family with 2 - 4 Units	CA, 03707	0.922182	0.0778182	61	1375	0.000736
Multi-Family with 5+ Units	CA, 03707	0.96168	0.0383199	310	5976	0.00319879
Single-Family Attached	CA, 03707	0.912673	0.0873274	132	2462	0.00131784
Single-Family Detached	CA, 03707	0.966037	0.0339628	1562	26529	0.0142002
Mobile Home	CA, 03708	0.829235	0.170765	37	732	0.00049537
Multi-Family with 2 - 4 Units	CA, 03708	0.94842	0.0515796	80	1551	0.00104961
Multi-Family with 5+ Units	CA, 03708	0.96683	0.03317	514	10612	0.00718149
Single-Family Attached	CA, 03708	0.952727	0.0472727	135	2200	0.00148881
Single-Family Detached	CA, 03708	0.933655	0.0663453	1741	28834	0.0195129
Mobile Home	CA, 03720	0.863933	0.136067	28295	537307	9.16916e-06
Multi-Family with 2 - 4 Units	CA, 03720	0.93243	0.0675703	227	4869	0.000474943
Multi-Family with 5+ Units	CA, 03720	0.898466	0.101534	845	21116	0.00205974
Single-Family Attached	CA, 03720	0.958899	0.0411014	120	2506	0.000244446
Single-Family Detached	CA, 03720	0.963178	0.0368217	1178	22704	0.00221465
Mobile Home	CA, 03721	0.863933	0.136067	28295	537307	9.31531e-05
Multi-Family with 2 - 4 Units	CA, 03721	0.918512	0.081488	227	4516	0.0030484
Multi-Family with 5+ Units	CA, 03721	0.937649	0.0623507	1630	34755	0.0234605
Single-Family Attached	CA, 03721	0.873932	0.126068	148	2808	0.00189546
Single-Family Detached	CA, 03721	0.945995	0.0540055	836	15017	0.0101368
Mobile Home	CA, 03722	0.92623	0.0737705	16	244	0.000163282
Multi-Family with 2 - 4 Units	CA, 03722	0.96264	0.0373603	142	2864	0.00191656
Multi-Family with 5+ Units	CA, 03722	0.953169	0.046831	1808	39760	0.026607
Single-Family Attached	CA, 03722	0.932057	0.0679426	117	2090	0.0013986
Single-Family Detached	CA, 03722	0.952944	0.0470563	1093	18871	0.0126283
Mobile Home	CA, 03723	1	0	20	352	0.000236693
Multi-Family with 2 - 4 Units	CA, 03723	1	0	53	893	0.000600474
Multi-Family with 5+ Units	CA, 03723	0.967096	0.0329039	1254	21578	0.0145095
Single-Family Attached	CA, 03723	0.971377	0.0286225	172	2236	0.00150354
Single-Family Detached	CA, 03723	0.971863	0.0281372	1062	16384	0.011017
Mobile Home	CA, 03724	1	0	14	299	0.0002027
