Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Cooling Setpoint Has Offset	Option=Day Setup	Option=Day Setup +1h	Option=Day Setup +2h	Option=Day Setup +3h	Option=Day Setup +4h	Option=Day Setup +5h	Option=Day Setup -1h	Option=Day Setup -2h	Option=Day Setup -3h	Option=Day Setup -4h	Option=Day Setup -5h	Option=Day Setup and Night Setback	Option=Day Setup and Night Setback +1h	Option=Day Setup and Night Setback +2h	Option=Day Setup and Night Setback +3h	Option=Day Setup and Night Setback +4h	Option=Day Setup and Night Setback +5h	Option=Day Setup and Night Setback -1h	Option=Day Setup and Night Setback -2h	Option=Day Setup and Night Setback -3h	Option=Day Setup and Night Setback -4h	Option=Day Setup and Night Setback -5h	Option=Day and Night Setup	Option=Day and Night Setup +1h	Option=Day and Night Setup +2h	Option=Day and Night Setup +3h	Option=Day and Night Setup +4h	Option=Day and Night Setup +5h	Option=Day and Night Setup -1h	Option=Day and Night Setup -2h	Option=Day and Night Setup -3h	Option=Day and Night Setup -4h	Option=Day and Night Setup -5h	Option=Night Setback	Option=Night Setback +1h	Option=Night Setback +2h	Option=Night Setback +3h	Option=Night Setback +4h	Option=Night Setback +5h	Option=Night Setback -1h	Option=Night Setback -2h	Option=Night Setback -3h	Option=Night Setback -4h	Option=Night Setback -5h	Option=Night Setup	Option=Night Setup +1h	Option=Night Setup +2h	Option=Night Setup +3h	Option=Night Setup +4h	Option=Night Setup +5h	Option=Night Setup -1h	Option=Night Setup -2h	Option=Night Setup -3h	Option=Night Setup -4h	Option=Night Setup -5h	Option=None	source_count	source_weight	sampling_probability
3B	Mobile Home	Yes	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0	371	3.08493e+06	0.00388902
3B	Single-Family Detached	Yes	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.016316	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.009229	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.014925	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.024533	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0.025906	0	371	3.08493e+06	0.20441
3B	Single-Family Attached	Yes	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0	110	930440	0.0316805
3B	Multi-Family with 2 - 4 Units	Yes	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0	110	930440	0.0486887
3B	Multi-Family with 5+ Units	Yes	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.025746	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.006961	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.013726	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.021732	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0.022745	0	110	930440	0.254922
3B	Mobile Home	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	371	3.08493e+06	0.00325418
3B	Single-Family Detached	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	371	3.08493e+06	0.171042
3B	Single-Family Attached	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	110	930440	0.026656
3B	Multi-Family with 2 - 4 Units	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	110	930440	0.0409667
3B	Multi-Family with 5+ Units	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	110	930440	0.214491
