Dependency=Geometry Building Type RECS	Dependency=Geometry Stories	Option=Mobile Home	Option=Multifamily with 2-4 Units	Option=Multifamily with 5+ units, 1-3 stories	Option=Multifamily with 5+ units, 4-7 stories	Option=Multifamily with 5+ units, 8+ stories	Option=Single-Family Attached	Option=Single-Family Detached	source_count	source_weight	sampling_probability
Mobile Home	1	1	0	0	0	0	0	0	533	6.84207e+06	0.00677754
Mobile Home	2	1	0	0	0	0	0	0	0	0	0
Mobile Home	3	1	0	0	0	0	0	0	0	0	0
Mobile Home	4	1	0	0	0	0	0	0	0	0	0
Mobile Home	5	1	0	0	0	0	0	0	0	0	0
Mobile Home	6	1	0	0	0	0	0	0	0	0	0
Mobile Home	7	1	0	0	0	0	0	0	0	0	0
Mobile Home	8	1	0	0	0	0	0	0	0	0	0
Mobile Home	9	1	0	0	0	0	0	0	0	0	0
Mobile Home	10	1	0	0	0	0	0	0	0	0	0
Mobile Home	11	1	0	0	0	0	0	0	0	0	0
Mobile Home	12	1	0	0	0	0	0	0	0	0	0
Mobile Home	13	1	0	0	0	0	0	0	0	0	0
Mobile Home	14	1	0	0	0	0	0	0	0	0	0
Mobile Home	15	1	0	0	0	0	0	0	0	0	0
Mobile Home	20	1	0	0	0	0	0	0	0	0	0
Mobile Home	21	1	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	1	0	1	0	0	0	0	0	0	0	0.0129436
Multi-Family with 2 - 4 Units	2	0	1	0	0	0	0	0	0	0	0.0523884
Multi-Family with 2 - 4 Units	3	0	1	0	0	0	0	0	0	0	0.0175523
Multi-Family with 2 - 4 Units	4	0	1	0	0	0	0	0	0	0	0.00362936
Multi-Family with 2 - 4 Units	5	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	6	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	7	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	8	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	9	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	10	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	11	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	12	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	13	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	14	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	15	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	20	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	21	0	1	0	0	0	0	0	0	0	0
Multi-Family with 5+ Units	1	0	0	1	0	0	0	0	149	1.38542e+06	0.0280456
Multi-Family with 5+ Units	2	0	0	1	0	0	0	0	736	7.32161e+06	0.134254
Multi-Family with 5+ Units	3	0	0	1	0	0	0	0	589	5.84211e+06	0.149555
Multi-Family with 5+ Units	4	0	0	0	1	0	0	0	123	1.32488e+06	0.0463569
Multi-Family with 5+ Units	5	0	0	0	1	0	0	0	74	723449	0.0243934
Multi-Family with 5+ Units	6	0	0	0	1	0	0	0	62	577566	0.0210845
Multi-Family with 5+ Units	7	0	0	0	1	0	0	0	17	151776	0.00546594
Multi-Family with 5+ Units	8	0	0	0	0	1	0	0	13	141790	0.00439488
Multi-Family with 5+ Units	9	0	0	0	0	1	0	0	10	122228	0.00393232
Multi-Family with 5+ Units	10	0	0	0	0	1	0	0	12	106310	0.00422204
Multi-Family with 5+ Units	11	0	0	0	0	1	0	0	8	86678.7	0.00249252
Multi-Family with 5+ Units	12	0	0	0	0	1	0	0	13	149908	0.00498154
Multi-Family with 5+ Units	13	0	0	0	0	1	0	0	8	66141.7	0.00255858
Multi-Family with 5+ Units	14	0	0	0	0	1	0	0	10	95842.6	0.00308637
Multi-Family with 5+ Units	15	0	0	0	0	1	0	0	10	96913	0.00307664
Multi-Family with 5+ Units	20	0	0	0	0	1	0	0	15	120772	0.00465011
