Dependency=ASHRAE IECC Climate Zone 2004	Dependency=HVAC Has Zonal Electric Heating	Dependency=Geometry Building Type RECS	Dependency=Heating Setpoint Has Offset	Option=0F	Option=3F	Option=6F	Option=12F	source_count	source_weight	sampling_probability
3B	No	Mobile Home	Yes	0	0.315265	0.382984	0.30175	881	7.09405e+06	0.0038198
3B	Yes	Mobile Home	Yes	0	0.169036	0.530289	0.300675	49	393847	0.000326605
3B	No	Single-Family Detached	Yes	0	0.315265	0.382984	0.30175	881	7.09405e+06	0.201279
3B	Yes	Single-Family Detached	Yes	0	0.169036	0.530289	0.300675	49	393847	0.0166701
3B	No	Single-Family Attached	Yes	0	0.362435	0.328549	0.309015	333	2.64153e+06	0.0306506
3B	Yes	Single-Family Attached	Yes	0	0.311395	0.418158	0.270447	57	456090	0.00389259
3B	No	Multi-Family with 2 - 4 Units	Yes	0	0.362435	0.328549	0.309015	333	2.64153e+06	0.0492636
3B	Yes	Multi-Family with 2 - 4 Units	Yes	0	0.311395	0.418158	0.270447	57	456090	0.00344031
3B	No	Multi-Family with 5+ Units	Yes	0	0.362435	0.328549	0.309015	333	2.64153e+06	0.253095
3B	Yes	Multi-Family with 5+ Units	Yes	0	0.311395	0.418158	0.270447	57	456090	0.0237107
3B	No	Mobile Home	No	1	0	0	0	881	7.09405e+06	0.00274927
3B	Yes	Mobile Home	No	1	0	0	0	49	393847	0.000247519
3B	No	Single-Family Detached	No	1	0	0	0	881	7.09405e+06	0.144869
3B	Yes	Single-Family Detached	No	1	0	0	0	49	393847	0.0126335
3B	No	Single-Family Attached	No	1	0	0	0	333	2.64153e+06	0.0220093
3B	Yes	Single-Family Attached	No	1	0	0	0	57	456090	0.00178392
3B	No	Multi-Family with 2 - 4 Units	No	1	0	0	0	333	2.64153e+06	0.0353748
3B	Yes	Multi-Family with 2 - 4 Units	No	1	0	0	0	57	456090	0.00157664
3B	No	Multi-Family with 5+ Units	No	1	0	0	0	333	2.64153e+06	0.181741
3B	Yes	Multi-Family with 5+ Units	No	1	0	0	0	57	456090	0.0108663
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Created by: https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb
# Assumptions: RECS data is queried from two building type groups: 1) Single-Family Detached and Mobile Homes and 2) Single-Family Attached, Multi-family with 2-4 Units, and Multi-Family with 5+ Units
# Assumptions: Dependencies with sample sizes < 10 used the combined data for both multifamily and single-family homes
# Downselected: This characteristic was downselected from project_national.
