Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Vintage ACS	Option=No	Option=Yes	source_count	source_weight	sampling_probability
Mobile Home	CR11	1940-59	0	1	13	47299.6	0.000556313
Mobile Home	CR11	1960-79	0	1	27	217093	0.00325828
Mobile Home	CR11	1980-99	0	1	269	85713	0.00181062
Mobile Home	CR11	2000-09	0	1	67	15073.7	0.000796564
Mobile Home	CR11	2010s	0	1	67	15073.7	0.000301316
Mobile Home	CR11	<1940	0	1	2	13826.1	0.000420102
Multi-Family with 2 - 4 Units	CR11	1940-59	0.135071	0.864929	31	222766	0.0237339
Multi-Family with 2 - 4 Units	CR11	1960-79	0.375344	0.624656	61	451909	0.0232406
Multi-Family with 2 - 4 Units	CR11	1980-99	0.293791	0.706209	27	209246	0.0119205
Multi-Family with 2 - 4 Units	CR11	2000-09	0.0516103	0.94839	46	20821.2	0.00299457
Multi-Family with 2 - 4 Units	CR11	2010s	0.0516103	0.94839	46	20821.2	0.00147802
Multi-Family with 2 - 4 Units	CR11	<1940	0.25873	0.74127	15	108668	0.0262878
Multi-Family with 5+ Units	CR11	1940-59	0.672821	0.327179	45	408732	0.0740469
Multi-Family with 5+ Units	CR11	1960-79	0.676946	0.323054	144	1.24004e+06	0.168483
Multi-Family with 5+ Units	CR11	1980-99	0.491432	0.508568	96	825369	0.10732
Multi-Family with 5+ Units	CR11	2000-09	0.199238	0.800762	21	88150.2	0.0356767
Multi-Family with 5+ Units	CR11	2010s	0.199238	0.800762	21	88150.2	0.0221817
Multi-Family with 5+ Units	CR11	<1940	0.679672	0.320328	24	221222	0.0617048
Single-Family Attached	CR11	1940-59	0	1	14	84125.9	0.0140519
Single-Family Attached	CR11	1960-79	0.0974014	0.902599	54	336819	0.013205
Single-Family Attached	CR11	1980-99	0.0236628	0.976337	49	260818	0.0100271
Single-Family Attached	CR11	2000-09	0	1	14	42300.8	0.00255658
Single-Family Attached	CR11	2010s	0	1	14	42300.8	0.00118248
Single-Family Attached	CR11	<1940	0	1	13	90334.7	0.0173134
Single-Family Detached	CR11	1940-59	0	1	247	1.83584e+06	0.157592
Single-Family Detached	CR11	1960-79	0	1	306	2.2862e+06	0.0743897
Single-Family Detached	CR11	1980-99	0	1	229	1.71796e+06	0.0290069
Single-Family Detached	CR11	2000-09	0	1	83	307868	0.0118315
Single-Family Detached	CR11	2010s	0	1	83	307868	0.00529943
Single-Family Detached	CR11	<1940	0	1	79	602483	0.0973329
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: Single-Family Detached and Mobile Homes have in unit water heaters.
# Assumption: If the sample counts are less than 10, then the Location Region dependency is collapsed.
# Downselected: This characteristic was downselected from project_national.
