Dependency=County and PUMA	Option=6	Option=8	Option=9	Option=16	source_count	source_weight	sampling_probability
G0600370, G06003705	0	0	1	0	76	61789	0.0420064
G0600370, G06003706	0	0	1	0	50	42827.6	0.0293662
G0600370, G06003707	0	0	0.999816	0.000184359	49	35360.9	0.0201712
G0600370, G06003708	0	0	0.59579	0.40421	62	42820.3	0.0297282
G0600370, G06003720	0	0	1	0	62	50784	0.00500295
G0600370, G06003721	0	0	1	0	65	56200.9	0.0386343
G0600370, G06003722	0	0	1	0	74	63295.5	0.0427137
G0600370, G06003723	0	0	1	0	54	40094.7	0.0278672
G0600370, G06003724	0.000114326	0	0.999886	0	62	63257.1	0.0439737
G0600370, G06003725	0	0	1	0	71	64225.8	0.0459087
G0600370, G06003726	0.428349	0	0.571651	0	46	40942.4	0.00454866
G0600370, G06003727	0.289563	0	0.710437	0	80	75744.9	0.0530988
G0600370, G06003728	1	0	0	0	46	58302.8	0.00487307
G0600370, G06003729	0.417527	0.221171	0.361302	0	86	94896.6	0.0651119
G0600370, G06003730	0	0.0321912	0.967809	0	83	78730.2	0.0544798
G0600370, G06003731	0	0	1	0	53	66117	0.0168749
G0600370, G06003732	0	0	1	0	86	85466.7	0.0594869
G0600370, G06003733	0	0	1	0	66	48697.8	0.0332694
G0600370, G06003734	0	0.00011475	0.999885	0	101	75589.1	0.054801
G0600370, G06003735	0	1.53058e-21	1	0	83	65334.6	0.0447547
G0600370, G06003736	0	0	1	0	44	43962.5	0.0015813
G0600370, G06003744	0	0.0158424	0.984158	0	95	66757.6	0.0441423
G0600370, G06003745	0	1	0	0	40	28958.6	0.0202391
G0600370, G06003746	0	0.778586	0.221414	0	56	33429.6	0.0233077
G0600370, G06003747	0	0.941332	0.0586677	0	76	65565.4	0.0443965
G0600370, G06003748	0.689654	0.310346	0	0	85	86236.4	0.0380315
G0600370, G06003750	0	1	0	0	74	55342.6	0.0384126
G0600370, G06003751	0	0.991854	0.00814598	0	65	41207.3	0.0275639
G0600370, G06003758	0	1	0	0	64	52795.3	0.00252634
G0600370, G06003767	0.999985	1.47928e-05	0	0	75	63002	0.0431271
# Created by: sources\spatial\tsv_maker.py
# Source: Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.
# Source: Zip code definitions are from the end of Q2 2020
# Source: The climate zone to zip codes in California is from the California Energy Commission Website.
# Assumption: CEC Climate zones are defined by Zip Codes. The dependency selected is County and PUMA as zip codes are not modeled in ResStock. The mapping between Census Tracts and Zip Codes are approximate and some discrepancies may exist.
# Downselected: This characteristic was downselected from project_national.
