Dependency=Location Heating Region	Dependency=Vintage	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
H1	<1950	58864.6692708	113	273893.45	520.926276732	142678295.13
H1	1950s	9759.9750291	34	99747.96	287.058089091	28633458.7883
H1	1960s	27164.1009632	54	186101.44	503.038906725	93616264.9176
H1	1970s	16475.4357733	55	198261.19	299.553377697	59389809.1307
H1	1980s	14439.1228436	31	112203.64	465.778156246	52262004.5633
H1	1990s	28517.1021526	56	192482.92	509.233967011	98018840.9335
H1	2000s	34029.9135041	54	171685.4	630.183583409	108193320.591
H2	<1950	4697.6961841	10	29909.21	469.76961841	14050438.1686
H2	1950s	3310.38800732	11	55852.67	300.944364302	16808546.2677
H2	1960s	0.0	3	3481.8	0.0	0.0
H2	1970s	6184.7277383	12	35228.92	515.393978192	18156773.2262
H2	1980s	434.3621862	2	5710.81	217.1810931	1240279.95829
H2	1990s	14124.3213602	22	79229.32	642.014607282	50866380.765
H2	2000s	10513.5752377	17	52140.58	618.445602218	32246112.3981
H3	<1950	5459.4676476	9	16219.29	606.6075164	9838743.22467
H3	1950s	2837.3389273	3	4468.01	945.779642433	4225752.90019
H3	1960s	1976.0968171	2	3275.55	988.04840855	3236401.96463
H3	1970s	3581.578451	6	12467.74	596.929741833	7442364.81945
H3	1980s	1876.8128583	4	5612.68	469.203214575	2633487.49838
H3	1990s	4233.9159604	8	14804.87	529.23949505	7835321.92308
H3	2000s	13544.1655553	13	18078.29	1041.85888887	18835027.1321
