Housing Characteristic,Category,Data Source,URL,Remark,bibtex
Area Mean Income,Demographics and Income,2011-2015 ACS,https://www.census.gov/programs-surveys/acs/data/pums.html,NaN,"@misc{U.S.CensusBureau2015, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{2011-2015 ACS 5-year PUMS}}, url = {https://www.census.gov/programs-surveys/acs/data/pums.html}, year = {2015} }"
Area Mean Income,Demographics and Income,AHS-2013,https://www.census.gov/programs-surveys/ahs/data.2013.html,NaN,"@misc{U.S.CensusBureau2013, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{AHS 2013 Public Use File (PUF)}}, year = {2013}}"
Bathroom Spot Vent Hour,"Hot Water, HVAC, and Ventilation",HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Ceiling Fan,Internal Gains and MELs,Parker-2010,http://www.fsec.ucf.edu/en/publications/pdf/FSEC-CR-1837-10-R01.pdf,NaN,"@techreport{Parker2010,abstract = {This report addresses the ever increasing percentage of whole house energy use that is attributable to miscellaneous electricity loads (MELs) and major appliances. It builds on earlier U.S. Department of Energy (DOE) reports on the same subject and incorporates the 2005 Residential Energy Consumption Survey (RECS) public use data set to determine how major appliance use is related to the number of bedrooms in existing homes. These data, coupled with existing and proposed DOE appliance testing and labeling standards, are then used to determine a set of baseline lighting and appliance energy end use values for use in the HERS Reference and Building America Benchmark whole house energy analysis procedures. The report makes recommendations for revising the reference standards that are in current use and provides mechanisms for expanding the number and types of lighting and major appliances that are considered to be rated features of a home. The report also provides a section on the potential of energy feedback devices and home energy management systems to reduce home energy use.},address = {Cocoa, FL, USA},author = {Parker, Danny and Fairey, Philip and Hendron, Robert},booktitle = {FSEC-CR-1837-10},file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2010 - Parker D - FSEC-CR-1837-10-R01.pdf:pdf},institution = {Florida Solar Energy Center},title = {{Updated Miscellaneous Electricity Loads and Appliance Energy Usage Profiles for Use in Home Energy Ratings, the Building America Benchmark Procedures and Related Calculations}},url = {http://www.fsec.ucf.edu/en/publications/pdf/FSEC-CR-1837-10-R01.pdf},year = {2010} }"
Ceiling Fan,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Ceiling Fan,Internal Gains and MELs,Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
Clothes Dryer,Internal Gains and MELs,RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Clothes Dryer,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Clothes Dryer,Internal Gains and MELs,BA Analysis Spreadsheets,https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets,NaN,"@misc{U.S.DepartmentofEnergy2011, address = {Washington, D.C., USA}, author = {{U.S. Department of Energy}}, title = {{Building America Analysis Spreadsheets}}, url = {https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets}, year = {2011} }"
Clothes Washer,Internal Gains and MELs,RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
