Annual Name,Annual Units,Notes
upgrade_costs.door_area_ft_2,ft^2,Door Area
upgrade_costs.duct_unconditioned_surface_area_ft_2,ft^2,Duct Unconditioned Surface Area
upgrade_costs.floor_area_attic_ft_2,ft^2,"Floor Area, Attic"
upgrade_costs.floor_area_attic_insulation_increase_ft_2_delta_r_value,ft^2 * Delta R-value,"Floor Area, Attic * Insulation Increase"
upgrade_costs.floor_area_conditioned_ft_2,ft^2,"Floor Area, Conditioned"
upgrade_costs.floor_area_conditioned_infiltration_reduction_ft_2_delta_ach_50,ft^2 * Delta ACH50,"Floor Area, Conditioned * Infiltration Reduction"
upgrade_costs.floor_area_foundation_ft_2,ft^2,"Floor Area, Foundation"
upgrade_costs.floor_area_lighting_ft_2,ft^2,"Floor Area, Lighting"
upgrade_costs.flow_rate_mechanical_ventilation_cfm,cfm,"Flow Rate, Mechanical Ventilation"
upgrade_costs.rim_joist_area_above_grade_exterior_ft_2,ft^2,"Rim Joist Area, Above-Grade, Exterior"
upgrade_costs.roof_area_ft_2,ft^2,Roof Area
upgrade_costs.size_cooling_system_primary_k_btu_h,kBtu/h,"Size, Cooling System Primary"
upgrade_costs.size_heat_pump_backup_primary_k_btu_h,kBtu/h,"Size, Heat Pump Backup Primary"
upgrade_costs.size_heating_system_primary_k_btu_h,kBtu/h,"Size, Heating System Primary"
upgrade_costs.size_heating_system_secondary_k_btu_h,kBtu/h,"Size, Heating System Secondary"
upgrade_costs.size_water_heater_gal,gal,"Size, Water Heater"
upgrade_costs.slab_perimeter_exposed_conditioned_ft,ft,"Slab Perimeter, Exposed, Conditioned"
upgrade_costs.wall_area_above_grade_conditioned_ft_2,ft^2,"Wall Area, Above-Grade, Conditioned"
upgrade_costs.wall_area_above_grade_exterior_ft_2,ft^2,"Wall Area, Above-Grade, Exterior"
upgrade_costs.wall_area_below_grade_ft_2,ft^2,"Wall Area, Below-Grade"
upgrade_costs.window_area_ft_2,ft^2,Window Area
