nsrdb_gid_old,nsrdb_gid_new
39,2613
40,2614
41,2615
42,2616
331,2963
332,2964
333,2965
334,2966
335,2967
624,3313
625,3314
626,3315
627,3316
628,3317
917,3663
918,3664
919,3665
920,3666
921,3667
932,3734
934,3736
935,3737
936,3738
937,3739
938,3740
939,3741
940,3742
941,3743
942,3744
943,3745
944,3746
945,3747
946,3748
947,3749
948,3750
949,3751
950,3752
951,3753
952,3754
953,3755
954,3756
955,3757
956,3758
957,3759
958,3760
959,3761
960,3762
961,3763
962,3764
963,3765
964,3766
965,3767
966,3768
967,3769
968,3770
969,3771
970,3772
971,3773
972,3774
973,3775
974,3776
975,3777
976,3778
977,3779
978,3780
979,3781
980,3782
981,3783
982,3784
983,3785
984,3786
985,3787
986,3788
987,3789
988,3790
989,3791
990,3792
991,3793
992,3794
993,3795
994,3796
995,3797
996,3798
997,3799
998,3800
999,3801
1000,3802
1001,3803
1002,3804
1003,3805
1004,3806
1005,3807
1006,3808
1007,3809
1008,3810
1009,3811
1010,3812
1011,3813
1012,3814
1013,3815
1014,3816
1015,3817
1016,3818
1017,3819
1018,3820
1019,3821
1020,3822
1021,3823
1022,3824
1023,3825
1024,3826
1025,3827
1026,3828
1027,3829
1028,3830
1029,3831
1030,3832
1031,3833
1032,3834
1033,3835
1034,3836
1035,3837
1036,3838
1037,3839
1038,3840
1039,3841
1040,3842
1041,3843
1042,3844
1043,3845
1044,3846
1045,3847
1046,3848
1047,3849
1048,3850
1049,3851
1050,3852
1051,3853
1052,3854
1053,3855
1054,3856
1055,3857
1056,3858
1057,3859
1058,3860
1059,3861
1060,3862
1061,3863
1062,3864
1063,3865
1064,3866
1065,3867
1066,3868
1067,3869
1068,3870
1069,3871
1070,3872
1071,3873
1072,3874
1073,3875
1074,3876
1075,3877
1076,3878
1077,3879
1078,3880
1079,3881
1080,3882
1081,3883
1082,3884
1083,3885
1084,3886
1085,3887
1086,3888
1087,3889
1088,3890
1089,3891
1090,3892
1091,3893
1092,3894
1093,3895
1094,3896
1095,3897
1096,3898
1097,3899
1098,3900
1099,3901
1100,3902
1101,3903
1102,3904
1103,3905
1104,3906
1105,3907
1106,3908
1107,3909
1108,3910
1109,3911
1110,3912
1111,3913
1112,3914
1113,3915
1114,3916
1115,3917
1116,3918
1117,3919
1118,3920
1119,3921
1120,3922
1121,3923
1122,3924
1123,3925
1124,3926
1125,3927
1126,3928
1127,3929
1128,3930
1129,3931
1130,3932
1131,3933
1132,3934
1133,3935
1134,3936
1135,3937
1136,3938
1137,3939
1138,3940
1139,3941
1140,3942
1141,3943
1142,3944
1143,3945
1144,3946
1145,3947
1146,3948
1147,3949
1148,3950
1149,3951
1150,3952
1151,3953
1152,3954
1153,3955
1154,3956
1155,3957
1156,3958
1157,3959
1158,3960
1159,3961
1160,3962
1161,3963
1162,3964
1163,3965
1164,3966
1165,3967
1166,3968
1167,3969
1168,3970
1169,3971
1170,3972
1171,3973
1172,3974
1173,3975
1174,3976
1175,3977
1176,3978
1177,3979
1178,3980
1179,3981
1180,3982
1181,3983
1182,3984
1183,3985
1184,3986
1185,3987
1186,3988
1187,3989
1188,3990
1189,3991
1190,3992
1191,3993
1192,3994
1193,3995
1194,3996
1195,3997
1196,3998
1197,3999
1198,4000
1199,4001
1200,4002
1201,4003
1202,4004
1203,4005
1204,4006
1205,4007
1206,4008
1207,4009
1208,4010
1209,4011
1210,4012
1211,4013
1212,4014
1213,4015
1214,4016
1215,4017
1216,4018
1245,4087
1246,4088
1247,4089
1248,4090
1249,4091
1250,4092
1251,4093
1252,4094
1253,4095
1254,4096
1255,4097
1256,4098
1257,4099
1258,4100
1259,4101
1260,4102
1261,4103
1262,4104
1263,4105
1264,4106
1265,4107
1266,4108
1267,4109
1268,4110
1269,4111
1270,4112
1271,4113
1272,4114
1273,4115
1274,4116
1275,4117
1276,4118
1277,4119
1278,4120
1279,4121
1280,4122
1281,4123
1282,4124
1283,4125
1284,4126
1285,4127
1286,4128
1287,4129
1288,4130
1289,4131
1290,4132
1291,4133
1292,4134
1293,4135
1294,4136
1295,4137
1296,4138
1297,4139
1298,4140
1299,4141
1300,4142
1301,4143
1302,4144
1303,4145
1304,4146
1305,4147
1306,4148
1307,4149
1308,4150
1309,4151
1310,4152
1311,4153
1312,4154
1313,4155
1314,4156
1315,4157
1316,4158
1317,4159
1318,4160
1319,4161
1320,4162
1321,4163
1322,4164
1323,4165
1324,4166
1325,4167
1326,4168
1327,4169
1328,4170
1329,4171
1330,4172
1331,4173
1332,4174
1333,4175
1334,4176
1335,4177
1336,4178
1337,4179
1338,4180
1339,4181
1340,4182
1341,4183
1342,4184
1343,4185
1344,4186
1345,4187
1346,4188
1347,4189
1348,4190
1349,4191
1350,4192
1351,4193
1352,4194
1353,4195
1354,4196
1355,4197
1356,4198
1357,4199
1358,4200
1359,4201
1360,4202
1361,4203
1362,4204
1363,4205
1364,4206
1365,4207
1366,4208
1367,4209
1368,4210
1369,4211
1370,4212
1371,4213
1372,4214
1373,4215
1374,4216
1375,4217
1376,4218
1377,4219
1378,4220
1379,4221
1380,4222
1381,4223
1382,4224
1383,4225
1384,4226
1385,4227
1386,4228
1387,4229
1388,4230
1389,4231
1390,4232
1391,4233
1392,4234
1393,4235
1394,4236
1395,4237
1396,4238
1397,4239
1398,4240
