Dependency=Geometry Building Type RECS	Dependency=Bedrooms	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	[For Reference Only] Source Sample Size	[For Reference Only] Source Weight
Mobile Home	1	0.4604773753369561	0.3660734211374407	0.10121053988294498	0.0	0.0	0.07223866364265816	18	331607.829825
Mobile Home	2	0.3359586814337727	0.35663227012922255	0.15716287395957856	0.08927566363983042	0.03921613057874092	0.021754380258854764	115	2446634.011159
Mobile Home	3	0.1755958057043375	0.3747994026285547	0.1559955858410931	0.1427467862660943	0.07115142138798185	0.0797109981719386	133	3547558.069917
Mobile Home	4	0.2828218203129356	0.07338407968883123	0.2888499783059139	0.19106899258327198	0.07823105411531123	0.08564407499373591	19	444752.60653800005
Mobile Home	5	0.0	0.0	0.0	1.0	0.0	0.0	1	16490.48254
Multi-Family with 2 - 4 Units	1	0.6879557378898497	0.16752725792757878	0.062269417706034946	0.023221662049276167	0.01717583922404547	0.04185008520321495	104	3197325.6790340003
Multi-Family with 2 - 4 Units	2	0.21711009901917855	0.30151336545592644	0.22613489860188254	0.14718297222748844	0.06312506117717402	0.044933603518350046	161	4720134.719295
Multi-Family with 2 - 4 Units	3	0.15436309484165137	0.30015794307434435	0.22995356302096137	0.13035623584957434	0.1464094993121727	0.038759663901295933	41	1366876.733888
Multi-Family with 2 - 4 Units	4	0.0	0.0	0.1696317368833109	0.566650822221482	0.26371744089520716	0.0	4	79932.97663
Multi-Family with 2 - 4 Units	5	0.0	0.0	0.0	0.0	1.0	0.0	1	27971.891180000002
Multi-Family with 5+ Units	1	0.6295572077380311	0.30715996470780305	0.04468553505326511	0.014604595646290193	0.0014930919669277406	0.002499604887682801	389	9793527.521341003
Multi-Family with 5+ Units	2	0.2907903876683704	0.3962487437652215	0.169935107963075	0.11196879434419948	0.02142217936782017	0.009634786891313328	383	9162849.109781
Multi-Family with 5+ Units	3	0.08338066246582677	0.24290254338982836	0.273400435689546	0.17858613683180266	0.18056762364209278	0.04116259798090355	71	1771315.6816249997
Multi-Family with 5+ Units	4	0.07067104563401583	0.35985423555723556	0.0	0.45701830037447183	0.0	0.11245641843427669	15	420099.68713000003
Multi-Family with 5+ Units	5	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666	0	0.0
Single-Family Attached	1	0.49265775720865146	0.39117481683777944	0.1161674259535691	0.0	0.0	0.0	22	349814.84642899997
Single-Family Attached	2	0.352188292481706	0.3596785997596712	0.13666825870694427	0.07766104664424793	0.04793823901589489	0.025865563391535517	239	3162461.989201001
Single-Family Attached	3	0.2270327652715916	0.32176225377386275	0.2259982874192303	0.13871627050625615	0.060958276468804466	0.02553214656025443	181	2868890.2872360013
Single-Family Attached	4	0.08525110468739777	0.2497056938651619	0.07914590478085504	0.44250585970031886	0.1082225250104094	0.03516891195585698	31	469788.528452
Single-Family Attached	5	0.0	0.39730301692332065	0.0	0.0	0.47187420384686146	0.13082277922981791	6	159176.3492
Single-Family Detached	1	0.5630419833916903	0.36697038750626004	0.023092403724885982	0.014312773035002653	0.03258245234216104	0.0	63	1299131.123265
Single-Family Detached	2	0.28789756073501976	0.493050920563283	0.11642269533893163	0.06821101155074502	0.026512668800780608	0.007905143011240115	503	10307150.170863
Single-Family Detached	3	0.17672005660778978	0.4046874997732573	0.19468136450719592	0.13469530199547278	0.05959189960121814	0.029623877515066156	1863	38060672.22758303
Single-Family Detached	4	0.0975191239192092	0.32910327913018345	0.18648867882489803	0.21495413384201473	0.10178015019610578	0.07015463408758882	1020	19088558.201344993
Single-Family Detached	5	0.062279781256499495	0.22385191831997628	0.17318978674201005	0.23675961606245105	0.13541901278285357	0.1684998848362095	303	5115529.277132001
Created by: recs\2015\tsv_maker.py using U.S. EIA 2015 Residential Energy Consumption Survey (RECS) microdata									
