Dependency=Location Region,Dependency=Vintage,Dependency=Heating Fuel,Dependency=HVAC System Is Combined,"Option=AC, SEER 10","Option=AC, SEER 13","Option=AC, SEER 15","Option=AC, SEER 8",Option=None,"Option=Room AC, EER 9.8","Option=FIXME Room AC, EER 9.8, 20% Conditioned","Option=FIXME Room AC, EER 9.8, 30% Conditioned",# Samples
H1C1 OR,1950s,Electricity,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
H1C1 OR,1950s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
H1C1 OR,1950s,Fuel Oil,No,0,0,0,0,0,0,0,0,0
H1C1 OR,1950s,Natural Gas,No,0.1,0.0,0.0,0.2,0.7,0.0,0.0,0.0,10
H1C1 OR,1950s,Other Fuel,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
H1C1 OR,1960s,Electricity,No,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.0,0.2222222222222222,0.0,9
H1C1 OR,1960s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
H1C1 OR,1960s,Fuel Oil,No,0,0,0,0,0,0,0,0,0
H1C1 OR,1960s,Natural Gas,No,0.3076923076923077,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.38461538461538464,13
H1C1 OR,1960s,Other Fuel,No,0,0,0,0,0,0,0,0,0
H1C1 OR,1970s,Electricity,No,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,7
H1C1 OR,1970s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
H1C1 OR,1970s,Natural Gas,No,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,6
H1C1 OR,1970s,Other Fuel,No,0,0,0,0,0,0,0,0,0
H1C1 OR,1980s,Electricity,No,0,0,0,0,0,0,0,0,0
H1C1 OR,1980s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
H1C1 OR,1980s,Natural Gas,No,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,5
H1C1 OR,1980s,Other Fuel,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
H1C1 OR,1990s,Electricity,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6
H1C1 OR,1990s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
H1C1 OR,1990s,Fuel Oil,No,0,0,0,0,0,0,0,0,0
H1C1 OR,1990s,Natural Gas,No,0.25,0.35,0.05,0.05,0.3,0.0,0.0,0.0,20
H1C1 OR,1990s,Other Fuel,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
H1C1 OR,2000s,Electricity,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
H1C1 OR,2000s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
H1C1 OR,2000s,Natural Gas,No,0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,9
H1C1 OR,2000s,Other Fuel,No,0,0,0,0,0,0,0,0,0
H1C1 OR,pre-1950,Electricity,No,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.09090909090909091,11
H1C1 OR,pre-1950,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
H1C1 OR,pre-1950,Fuel Oil,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
H1C1 OR,pre-1950,Natural Gas,No,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,4
H1C1 OR,pre-1950,Other Fuel,No,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,6
H1C1 WA,1950s,Electricity,No,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.09090909090909091,0.0,11
H1C1 WA,1950s,Electricity,Yes,0,0,0,0,0,0,0,0,0
H1C1 WA,1950s,Fuel Oil,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6
H1C1 WA,1950s,Natural Gas,No,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,16
H1C1 WA,1950s,Other Fuel,No,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,3
H1C1 WA,1950s,Propane/LPG,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
H1C1 WA,1960s,Electricity,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11
H1C1 WA,1960s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6
H1C1 WA,1960s,Fuel Oil,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
H1C1 WA,1960s,Natural Gas,No,0.0,0.0,0.0,0.0,0.925,0.0,0.075,0.0,40
H1C1 WA,1960s,None,No,0,0,0,0,0,0,0,0,0
H1C1 WA,1960s,Other Fuel,No,0,0,0,0,0,0,0,0,0
H1C1 WA,1970s,Electricity,No,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.11764705882352941,0.0,17
H1C1 WA,1970s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9
H1C1 WA,1970s,Fuel Oil,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
H1C1 WA,1970s,Natural Gas,No,0.0,0.045454545454545456,0.0,0.18181818181818182,0.6818181818181818,0.0,0.09090909090909091,0.0,22
H1C1 WA,1970s,Other Fuel,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
H1C1 WA,1970s,Propane/LPG,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
H1C1 WA,1980s,Electricity,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15
H1C1 WA,1980s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9
H1C1 WA,1980s,Natural Gas,No,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.058823529411764705,17
H1C1 WA,1980s,Other Fuel,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
H1C1 WA,1980s,Propane/LPG,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
H1C1 WA,1990s,Electricity,No,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,6
H1C1 WA,1990s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
H1C1 WA,1990s,Natural Gas,No,0.0,0.0,0.0,0.0,0.92,0.0,0.08,0.0,25
H1C1 WA,1990s,None,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
H1C1 WA,1990s,Other Fuel,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5
H1C1 WA,2000s,Electricity,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6
H1C1 WA,2000s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
H1C1 WA,2000s,Natural Gas,No,0.125,0.09375,0.0,0.0,0.75,0.0,0.03125,0.0,32
H1C1 WA,2000s,Other Fuel,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
H1C1 WA,2000s,Propane/LPG,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
H1C1 WA,pre-1950,Electricity,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22
H1C1 WA,pre-1950,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
H1C1 WA,pre-1950,Fuel Oil,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10
H1C1 WA,pre-1950,Natural Gas,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54
H1C1 WA,pre-1950,Other Fuel,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5
H1C1 WA,pre-1950,Propane/LPG,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5
H1C2,1950s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
H1C2,1950s,Natural Gas,No,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,8
H1C2,1950s,Propane/LPG,No,0,0,0,0,0,0,0,0,0
H1C2,1960s,Electricity,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
H1C2,1960s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
H1C2,1960s,Fuel Oil,No,0,0,0,0,0,0,0,0,0
