Dependency=Location Region,Dependency=Vintage,Dependency=Foundation Type,None,Uninsulated,Wall R-5,Wall R-10,Wall R-15,# Samples
H1C1 WA,pre-1950,Slab,1.0,0.0,0.0,0.0,0.0,66
H1C1 WA,1950s,Slab,1.0,0.0,0.0,0.0,0.0,55
H1C1 WA,1960s,Slab,1.0,0.0,0.0,0.0,0.0,63
H1C1 WA,1970s,Slab,1.0,0.0,0.0,0.0,0.0,63
H1C1 WA,1980s,Slab,1.0,0.0,0.0,0.0,0.0,48
H1C1 WA,1990s,Slab,1.0,0.0,0.0,0.0,0.0,23
H1C1 WA,2000s,Slab,1.0,0.0,0.0,0.0,0.0,59
H1C1 WA,2010s,Slab,0,0,0,0,0,0
H1C2,pre-1950,Slab,1.0,0.0,0.0,0.0,0.0,46
H1C2,1950s,Slab,1.0,0.0,0.0,0.0,0.0,10
H1C2,1960s,Slab,1.0,0.0,0.0,0.0,0.0,9
H1C2,1970s,Slab,1.0,0.0,0.0,0.0,0.0,19
H1C2,1980s,Slab,1.0,0.0,0.0,0.0,0.0,27
H1C2,1990s,Slab,1.0,0.0,0.0,0.0,0.0,5
H1C2,2000s,Slab,1.0,0.0,0.0,0.0,0.0,4
H1C2,2010s,Slab,0,0,0,0,0,0
H1C3,pre-1950,Slab,1.0,0.0,0.0,0.0,0.0,12
H1C3,1950s,Slab,1.0,0.0,0.0,0.0,0.0,9
H1C3,1960s,Slab,1.0,0.0,0.0,0.0,0.0,2
H1C3,1970s,Slab,1.0,0.0,0.0,0.0,0.0,22
H1C3,1980s,Slab,1.0,0.0,0.0,0.0,0.0,2
H1C3,1990s,Slab,1.0,0.0,0.0,0.0,0.0,9
H1C3,2000s,Slab,1.0,0.0,0.0,0.0,0.0,17
H1C3,2010s,Slab,0,0,0,0,0,0
H2,pre-1950,Slab,1.0,0.0,0.0,0.0,0.0,6
H2,1950s,Slab,1.0,0.0,0.0,0.0,0.0,13
H2,1960s,Slab,1.0,0.0,0.0,0.0,0.0,21
H2,1970s,Slab,1.0,0.0,0.0,0.0,0.0,25
H2,1980s,Slab,1.0,0.0,0.0,0.0,0.0,13
H2,1990s,Slab,1.0,0.0,0.0,0.0,0.0,32
H2,2000s,Slab,1.0,0.0,0.0,0.0,0.0,46
H2,2010s,Slab,0,0,0,0,0,0
H3,pre-1950,Slab,0,0,0,0,0,0
H3,1950s,Slab,1.0,0.0,0.0,0.0,0.0,12
H3,1960s,Slab,1.0,0.0,0.0,0.0,0.0,4
H3,1970s,Slab,1.0,0.0,0.0,0.0,0.0,23
H3,1980s,Slab,1.0,0.0,0.0,0.0,0.0,3
H3,1990s,Slab,1.0,0.0,0.0,0.0,0.0,27
H3,2000s,Slab,1.0,0.0,0.0,0.0,0.0,10
H3,2010s,Slab,1.0,0.0,0.0,0.0,0.0,8
