Dependency=Location Region,Dependency=Vintage,Dependency=Heating Fuel,Dependency=HVAC System Is Combined,"Option=AC, SEER 10","Option=AC, SEER 13","Option=AC, SEER 15","Option=AC, SEER 8",Option=None,"Option=Room AC, EER 9.8","Option=FIXME Room AC, EER 9.8, 20% Conditioned","Option=FIXME Room AC, EER 9.8, 30% Conditioned"
H1C1 OR,1950s,Electricity,No,0.0,0.0,0.0,0.0,0.535235949015,0.0,0.267617974508,0.197146076477
H1C1 OR,1950s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,1950s,Fuel Oil,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
H1C1 OR,1950s,Natural Gas,No,0.2732107705,0.0,0.0,0.229172444684,0.497616784816,0.0,0.0,0.0
H1C1 OR,1950s,Other Fuel,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,1960s,Electricity,No,0.0,0.0,0.0,0.234016281524,0.725881764011,0.0,0.0401019544648,0.0
H1C1 OR,1960s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,1960s,Fuel Oil,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,1960s,Natural Gas,No,0.311683507575,0.0,0.0,0.0324747386368,0.344158246212,0.0,0.0,0.311683507575
H1C1 OR,1960s,Other Fuel,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
H1C1 OR,1970s,Electricity,No,0.0,0.0,0.0,0.0,0.71779694959,0.0,0.28220305041,0.0
H1C1 OR,1970s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,1970s,Natural Gas,No,0.0,0.0,0.0,0.0,0.951235210213,0.0,0.0487647897875,0.0
H1C1 OR,1970s,Other Fuel,No,0.0,0.0,0.0,0.0,0.535235949015,0.0,0.464764050985,0.0
H1C1 OR,1980s,Electricity,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,1980s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,1980s,Natural Gas,No,0.338948079038,0.0639662155382,0.0,0.0,0.597085705424,0.0,0.0,0.0
H1C1 OR,1980s,Other Fuel,No,0.0,0.0,0.0,0.0,0.424185295871,0.0,0.0,0.575814704129
H1C1 OR,1990s,Electricity,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,1990s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,1990s,Fuel Oil,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,1990s,Natural Gas,No,0.154460637445,0.210833293799,0.0180646130528,0.129938642172,0.381286166632,0.0,0.105416646899,0.0
H1C1 OR,1990s,Other Fuel,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,2000s,Electricity,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,2000s,Electricity,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,2000s,Natural Gas,No,0.035528442317,0.035528442317,0.0,0.188260274166,0.7406828412,0.0,0.0,0.0
H1C1 OR,2000s,Other Fuel,No,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H1C1 OR,pre-1950,Electricity,No,0.0,0.0,0.0,0.0,0.908273980355,0.0,0.0528171908626,0.0389088287821
