utility,eiaid,name,label
Blue Ridge Mountain E M C (North Carolina),1891,Residential,539f6a0aec4f024411ec8acd
"Charles Mix Electric Assn, Inc",3315,Rate Schedule D - Residential and Small Commercial,539f6a0aec4f024411ec8ad1
"City of Burt, Iowa (Utility Company)",2600,Power Rate 2,539f6a0aec4f024411ec8adb
West Central Electric Coop Inc,20363,Residential Service,539f6a0bec4f024411ec8b3b
Johnson County Rural E M C,9778,Residential and Farm Service(Flat Rate),539f6a0bec4f024411ec8b41
"City of Scottsboro, Alabama (Utility Company)",16829,Residential,539f6a0bec4f024411ec8b43
"Town of Holden, Massachusetts (Utility Company)",8715,Residential,539f6a22ec4f024411ec8b7f
Four County Elec Member Corp,6640,Residential Service - Three Phase,539f6a22ec4f024411ec8b8b
"Town of Groton, Massachusetts (Utility Company)",7715,RESIDENTIAL FARM RATE SCHEDULE - F1,539f6a23ec4f024411ec8b9b
"City of Lexington, Oklahoma (Utility Company)",10970,Residential,539f6a23ec4f024411ec8bbf
Powell Valley Electric Coop,15293,Residential,539f6a23ec4f024411ec8bc1
"Broad River Electric Coop, Inc (North Carolina)",2212,Rate Code 80 Single-Phase,539f6a23ec4f024411ec8be1
"City of Blue Earth, Minnesota (Utility Company)",1883,Residential Electric,539f6a24ec4f024411ec8c13
"City of Wellington, Kansas (Utility Company)",20315,Rural Residential- Single Phase,539f6a33ec4f024411ec8c45
Green Mountain Power Corp,7601,Rate 11: Optional Residential TOD,57310dd75457a30055a31af8
"City of Naperville, Illinois (Utility Company)",13208,Residential,539f6a34ec4f024411ec8c9f
Pataula Electric Member Corp,14588,Schedule FM - Farm and Home Service,539f6a34ec4f024411ec8ccb
"Town of Mannford, Oklahoma (Utility Company)",11578,Residential Electric Rate,539f6a34ec4f024411ec8cd7
Slinger Utilities,17324,Residential- Single-Phase- Time-of-Day,539f6a34ec4f024411ec8cdb
Waupun Utilities,20213,Rg-2 Residential Optional Time-of-Day Single Phase Service,55ba6c605457a3b94c995e96
"Town of Farmville, North Carolina (Utility Company)",6209,Residential,539f6a34ec4f024411ec8ce9
"City of Pella, Iowa (Utility Company)",14645,Rural Residents and Farm,539f6a34ec4f024411ec8ced
"Osceola Electric Coop, Inc",14202,Farm and Residential Service Single Phase,55dcbbdd5457a31463687725
"City of Fayetteville, Tennessee (Utility Company)",6234,Residential Rates,539f6a45ec4f024411ec8d05
Upper Peninsula Power Co,19578,Residential Service A-1,559a9e785457a35027271883
"City of Chewelah, Washington (Utility Company)",3459,Residential Rate,5578a5895457a396438ba375
Trenton Municipal Utilities,19150,Residential General Electric Service,539f6a46ec4f024411ec8d6b
"Northern Electric Coop, Inc",13750,RATE R201 (Single Phase- Residential),539f6a46ec4f024411ec8d99
Bear Valley Electric Service,17612,D Domestic Service Single Family Accomodation,539f6a46ec4f024411ec8db1
"Tri-County Electric Coop, Inc (Texas)",19159,Residential Single Phase,539f6a54ec4f024411ec8ddd
"Village of Republic, Ohio (Utility Company)",15865,Residential,539f6a55ec4f024411ec8e35
"Village of Sauk City, Wisconsin (Utility Company)",16680,Rg-1 Residential Service,539f6a55ec4f024411ec8e3d
"Southern Iowa Elec Coop, Inc",17643,Residentail Rate,539f6a55ec4f024411ec8e57
"City of Eagle River, Wisconsin (Utility Company)",5551,Rg-2 Residential Service Three Phase -  Optional Time-of-Day 9am-9pm,539f6a56ec4f024411ec8e83
"City of La Grange, Georgia (Utility Company)",10585,RESIDENTIAL,539f6a62ec4f024411ec8e8f
"City of Calhoun, Georgia (Utility Company)",2812,Residential Service,539f6a62ec4f024411ec8e95
"City of Meadville, Missouri (Utility Company)",12292,Electric Rate,539f6a63ec4f024411ec8ec7
Midwest Energy Cooperative,12377,Residential Time-of-Use,539f6a63ec4f024411ec8ecd
"Central New Mexico El Coop, Inc",3273,Time of Use Residential Service (Rate 25),539f6a63ec4f024411ec8eed
Ozark Electric Coop Inc,14288,Residential Single Phase (Planned Subdivision),539f6a63ec4f024411ec8ef3
"Tri-County Electric Coop, Inc (Oklahoma)",19160,Residential Single-Phase SPS,539f6a63ec4f024411ec8f0f
"Platte-Clay Electric Coop, Inc",15138,R-ETS - Residential ETS Service,539f6a63ec4f024411ec8f11
"Central Texas Elec Coop, Inc",3282,General Service,539f6a64ec4f024411ec8f35
Macon Electric Coop,11463,Single-Phase Service,539f6a64ec4f024411ec8f37
"City of Holton, Kansas (Utility Company)",8770,Residential Rate - Outside City Limits,539f6a64ec4f024411ec8f3d
"City of Julesburg, Colorado (Utility Company)",9928,Rate 17: Residential,539f6a64ec4f024411ec8f3f
French Broad Elec Member Corp (Tennessee),6784,Primary Residential Customer,539f6a64ec4f024411ec8f45
"Town of Concord, Massachusetts (Utility Company)",4147,RATE R-1 RESIDENTIAL TIME OF USE RATE (SINGLE PHASE),539f6a70ec4f024411ec8f53
"City of Waterville, Kansas (Utility Company)",20189,Residential,539f6a70ec4f024411ec8f59
"Copper Valley Elec Assn, Inc",4329,Valdez Residential,539f6a70ec4f024411ec8f5b
Alaska Power and Telephone Co,219,Schedule No. A-1 Residential (Chistochina/Mentasta/Slana),539f6a71ec4f024411ec8f6f
"City of Sheboygan Falls, Wisconsin (Utility Company)",17028,Residential,539f6a71ec4f024411ec8f7b
"City of Marshfield, Wisconsin (Utility Company)",11740,Rg-2 Residential Service Optional Time-of-Day Three Phase,539f6a71ec4f024411ec8f89
"Village of Pioneer, Ohio (Utility Company)",15072,Residential- In,539f6a71ec4f024411ec8fc5
"City of Bennettsville, South Carolina (Utility Company)",1566,Residential Rate,539f6a72ec4f024411ec8fd7
Roosevelt Public Power Dist,16164,Net Metering,539f6a72ec4f024411ec8fdb
Heartland Power Coop (Minnesota),8319,Three - Phase - Residential and Farm (Rate B),539f6a72ec4f024411ec9001
Clarke Electric Coop Inc,3722,Urban Single Phase,539f6a72ec4f024411ec900d
"Town of La Grange, North Carolina (Utility Company)",10586,In-Town Residential,539f6a7fec4f024411ec9029
"City of New Madrid, Missouri (Utility Company)",13470,Residential,539f6a7fec4f024411ec9039
Claverack Rural Elec Coop Inc,40289,Residential Service,539f6a7fec4f024411ec9043
Massachusetts Electric Co,11804,R-1 Residential,5775506c5457a3bf7bff4c80
