Dependency=Geometry Building Type RECS	Dependency=Geometry Stories	Option=Mobile Home	Option=Multifamily with 2-4 Units	Option=Multifamily with 5+ units, 1-3 stories	Option=Multifamily with 5+ units, 4-7 stories	Option=Multifamily with 5+ units, 8+ stories	Option=Single-Family Attached	Option=Single-Family Detached	sampling_probability
Multi-Family with 2 - 4 Units	14	0	1	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	15	0	1	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	20	0	1	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	21	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	1	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0319535
Multi-Family with 5+ Units	2	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0319535
Multi-Family with 5+ Units	3	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0319535
Multi-Family with 5+ Units	4	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0319535
Multi-Family with 5+ Units	5	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0319535
Multi-Family with 5+ Units	6	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0319535
Multi-Family with 5+ Units	7	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0319535
Multi-Family with 5+ Units	8	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0319535
Multi-Family with 5+ Units	9	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0319535
Multi-Family with 5+ Units	10	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0196078
Multi-Family with 5+ Units	11	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0196078
Multi-Family with 5+ Units	12	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0196078
Multi-Family with 5+ Units	13	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0196078
Multi-Family with 5+ Units	14	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0196078
Multi-Family with 5+ Units	15	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0196078
Multi-Family with 5+ Units	20	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0196078
Multi-Family with 5+ Units	21	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.0196078
Single-Family Attached	1	0	0	0	0	0	1	0	0.037037
Single-Family Attached	2	0	0	0	0	0	1	0	0.037037
Single-Family Attached	3	0	0	0	0	0	1	0	0.037037
Single-Family Attached	4	0	0	0	0	0	1	0	0
Single-Family Attached	5	0	0	0	0	0	1	0	0
Single-Family Attached	6	0	0	0	0	0	1	0	0
Single-Family Attached	7	0	0	0	0	0	1	0	0
Single-Family Attached	8	0	0	0	0	0	1	0	0
Single-Family Attached	9	0	0	0	0	0	1	0	0
Single-Family Attached	10	0	0	0	0	0	1	0	0
Single-Family Attached	11	0	0	0	0	0	1	0	0
Single-Family Attached	12	0	0	0	0	0	1	0	0
Single-Family Attached	13	0	0	0	0	0	1	0	0
Single-Family Attached	14	0	0	0	0	0	1	0	0
Single-Family Attached	15	0	0	0	0	0	1	0	0
Single-Family Attached	20	0	0	0	0	0	1	0	0
Single-Family Attached	21	0	0	0	0	0	1	0	0
Single-Family Detached	1	0	0	0	0	0	0	1	0.037037
Single-Family Detached	2	0	0	0	0	0	0	1	0.037037
Single-Family Detached	3	0	0	0	0	0	0	1	0.037037
Single-Family Detached	4	0	0	0	0	0	0	1	0
Single-Family Detached	5	0	0	0	0	0	0	1	0
Single-Family Detached	6	0	0	0	0	0	0	1	0
Single-Family Detached	7	0	0	0	0	0	0	1	0
Single-Family Detached	8	0	0	0	0	0	0	1	0
Single-Family Detached	9	0	0	0	0	0	0	1	0
Single-Family Detached	10	0	0	0	0	0	0	1	0
Single-Family Detached	11	0	0	0	0	0	0	1	0
Single-Family Detached	12	0	0	0	0	0	0	1	0
Single-Family Detached	13	0	0	0	0	0	0	1	0
Single-Family Detached	14	0	0	0	0	0	0	1	0
Single-Family Detached	15	0	0	0	0	0	0	1	0
Single-Family Detached	20	0	0	0	0	0	0	1	0
Single-Family Detached	21	0	0	0	0	0	0	1	0
# Created by: sources\recs\recs2009\tsv_maker.py
# Description: The 2009 U.S. Energy Information Administration Residential Energy Consumption Survey  building type with multi-family buildings split out by low-rise, mid-rise, and high-rise.
