Dependency=Heating Fuel	Dependency=HVAC Has Shared System	Option=Boiler Baseboards Heating Only, Electricity	Option=Boiler Baseboards Heating Only, Fuel Oil	Option=Boiler Baseboards Heating Only, Natural Gas	Option=Boiler Baseboards Heating Only, Propane	Option=Fan Coil Cooling Only	Option=Fan Coil Heating and Cooling, Electricity	Option=Fan Coil Heating and Cooling, Fuel Oil	Option=Fan Coil Heating and Cooling, Natural Gas	Option=Fan Coil Heating and Cooling, Propane	Option=None	sampling_probability
Electricity	Cooling Only	0	0	0	0	1	0	0	0	0	0	0.0135031
Electricity	Heating Only	1	0	0	0	0	0	0	0	0	0	0.035108
Electricity	Heating and Cooling	0	0	0	0	0	1	0	0	0	0	0.0135031
Electricity	None	0	0	0	0	0	0	0	0	0	1	0.104553
Fuel Oil	Cooling Only	0	0	0	0	1	0	0	0	0	0	0.0108025
Fuel Oil	Heating Only	0	1	0	0	0	0	0	0	0	0	0.0540123
Fuel Oil	Heating and Cooling	0	0	0	0	0	0	1	0	0	0	0.0108025
Fuel Oil	None	0	0	0	0	0	0	0	0	0	1	0.0910494
Natural Gas	Cooling Only	0	0	0	0	1	0	0	0	0	0	0.0108025
Natural Gas	Heating Only	0	0	1	0	0	0	0	0	0	0	0.0540123
Natural Gas	Heating and Cooling	0	0	0	0	0	0	0	1	0	0	0.0108025
Natural Gas	None	0	0	0	0	0	0	0	0	0	1	0.0910494
None	Cooling Only	0	0	0	0	1	0	0	0	0	0	0
None	Heating Only	0	0	0	0	0	0	0	0	0	1	0
None	Heating and Cooling	0	0	0	0	0	0	0	0	0	1	0
None	None	0	0	0	0	0	0	0	0	0	1	0.166667
Other Fuel	Cooling Only	0	0	0	0	1	0	0	0	0	0	0
Other Fuel	Heating Only	0	0	0	0	0	0	0	0	0	1	0
Other Fuel	Heating and Cooling	0	0	0	0	0	0	0	0	0	1	0
Other Fuel	None	0	0	0	0	0	0	0	0	0	1	0.166667
Propane	Cooling Only	0	0	0	0	1	0	0	0	0	0	0.0108025
Propane	Heating Only	0	0	0	1	0	0	0	0	0	0	0.0540123
Propane	Heating and Cooling	0	0	0	0	0	0	0	0	1	0	0.0108025
Propane	None	0	0	0	0	0	0	0	0	0	1	0.0910494
# Created by: sources\recs\2009\tsv_maker.py
# Description: The presence and efficiency of the shared HVAC system.
