Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Dependency=HVAC Heating Type	Dependency=Heating Fuel	Option=Cooling Only	Option=Heating and Cooling	Option=Heating Only	Option=None	sampling_probability
Mobile Home	Central AC	Ducted Heat Pump	Electricity	0	0	0	1	0
Mobile Home	Heat Pump	Ducted Heat Pump	Electricity	0	0	0	1	0.00462963
Mobile Home	None	Ducted Heat Pump	Electricity	0	0	0	1	0
Mobile Home	Room AC	Ducted Heat Pump	Electricity	0	0	0	1	0
Mobile Home	Central AC	Ducted Heating	Electricity	0	0	0	1	0.00154321
Mobile Home	Heat Pump	Ducted Heating	Electricity	0	0	0	1	0
Mobile Home	None	Ducted Heating	Electricity	0	0	0	1	0.00154321
Mobile Home	Room AC	Ducted Heating	Electricity	0	0	0	1	0.00154321
Mobile Home	Central AC	Non-Ducted Heat Pump	Electricity	0	0	0	1	0
Mobile Home	Heat Pump	Non-Ducted Heat Pump	Electricity	0	0	0	1	0.00462963
Mobile Home	None	Non-Ducted Heat Pump	Electricity	0	0	0	1	0
Mobile Home	Room AC	Non-Ducted Heat Pump	Electricity	0	0	0	1	0
Mobile Home	Central AC	Non-Ducted Heating	Electricity	0	0	0	1	0.00154321
Mobile Home	Heat Pump	Non-Ducted Heating	Electricity	0	0	0	1	0
Mobile Home	None	Non-Ducted Heating	Electricity	0	0	0	1	0.00154321
Mobile Home	Room AC	Non-Ducted Heating	Electricity	0	0	0	1	0.00154321
Mobile Home	Central AC	None	Electricity	0	0	0	1	0
Mobile Home	Heat Pump	None	Electricity	0	0	0	1	0
Mobile Home	None	None	Electricity	0	0	0	1	0
Mobile Home	Room AC	None	Electricity	0	0	0	1	0
Multi-Family with 2 - 4 Units	Central AC	Ducted Heat Pump	Electricity	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heat Pump	Electricity	0.25	0.25	0.25	0.25	0.00925927
Multi-Family with 2 - 4 Units	None	Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Room AC	Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Central AC	Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0.00308642
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	None	Ducted Heating	Electricity	0	0	0.5	0.5	0.00308642
Multi-Family with 2 - 4 Units	Room AC	Ducted Heating	Electricity	0	0	0.5	0.5	0.00308642
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heat Pump	Electricity	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heat Pump	Electricity	0	0	0	1	0.00925927
Multi-Family with 2 - 4 Units	None	Non-Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0.00308642
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	None	Non-Ducted Heating	Electricity	0	0	0.5	0.5	0.00308642
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heating	Electricity	0	0	0.5	0.5	0.00308642
Multi-Family with 2 - 4 Units	Central AC	None	Electricity	0.5	0	0	0.5	0
Multi-Family with 2 - 4 Units	Heat Pump	None	Electricity	0.5	0	0	0.5	0
Multi-Family with 2 - 4 Units	None	None	Electricity	0	0	0	1	0
Multi-Family with 2 - 4 Units	Room AC	None	Electricity	0	0	0	1	0
Multi-Family with 5+ Units	Central AC	Ducted Heat Pump	Electricity	0.25	0.25	0.25	0.25	0
