Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Vintage ACS	Option=No	Option=Yes	sample_count	sample_weight
Mobile Home	CR02	1940-59	0.000000	1.000000	13.000000	8385.209961
Mobile Home	CR02	1960-79	0.000000	1.000000	182.000000	54260.910156
Mobile Home	CR02	1980-99	0.000000	1.000000	19.000000	169165.671875
Mobile Home	CR02	2000-09	0.000000	1.000000	67.000000	11031.740234
Mobile Home	CR02	2010s	0.000000	1.000000	67.000000	11031.740234
Mobile Home	CR02	<1940	0.000000	1.000000	2.000000	0.000000
Multi-Family with 2 - 4 Units	CR02	1940-59	0.328567	0.671433	174.000000	78102.796875
Multi-Family with 2 - 4 Units	CR02	1960-79	0.323179	0.676821	17.000000	149841.250000
Multi-Family with 2 - 4 Units	CR02	1980-99	0.185289	0.814711	195.000000	40915.488281
Multi-Family with 2 - 4 Units	CR02	2000-09	0.051610	0.948390	46.000000	0.000000
Multi-Family with 2 - 4 Units	CR02	2010s	0.051610	0.948390	46.000000	0.000000
Multi-Family with 2 - 4 Units	CR02	<1940	0.344015	0.655985	16.000000	143052.031250
Multi-Family with 5+ Units	CR02	1940-59	0.731696	0.268304	207.000000	64071.949219
Multi-Family with 5+ Units	CR02	1960-79	0.656158	0.343842	51.000000	356975.531250
Multi-Family with 5+ Units	CR02	1980-99	0.752893	0.247107	34.000000	249255.046875
Multi-Family with 5+ Units	CR02	2000-09	0.627607	0.372393	13.000000	47820.289062
Multi-Family with 5+ Units	CR02	2010s	0.627607	0.372393	13.000000	47820.289062
Multi-Family with 5+ Units	CR02	<1940	0.803274	0.196726	200.000000	73251.000000
Single-Family Attached	CR02	1940-59	0.093820	0.906180	99.000000	30332.570312
Single-Family Attached	CR02	1960-79	0.111134	0.888866	15.000000	90863.578125
Single-Family Attached	CR02	1980-99	0.062270	0.937730	20.000000	104941.640625
Single-Family Attached	CR02	2000-09	0.000000	1.000000	18.000000	50198.886719
Single-Family Attached	CR02	2010s	0.000000	1.000000	18.000000	50198.886719
Single-Family Attached	CR02	<1940	0.102232	0.897768	122.000000	28361.140625
Single-Family Detached	CR02	1940-59	0.000000	1.000000	133.000000	870650.062500
Single-Family Detached	CR02	1960-79	0.000000	1.000000	177.000000	1108141.375000
Single-Family Detached	CR02	1980-99	0.000000	1.000000	160.000000	972480.062500
Single-Family Detached	CR02	2000-09	0.000000	1.000000	75.000000	227548.390625
Single-Family Detached	CR02	2010s	0.000000	1.000000	75.000000	227548.390625
Single-Family Detached	CR02	<1940	0.000000	1.000000	143.000000	914250.687500
Mobile Home	CR03	1940-59	0.000000	1.000000	13.000000	0.000000
Mobile Home	CR03	1960-79	0.000000	1.000000	182.000000	43610.761719
Mobile Home	CR03	1980-99	0.000000	1.000000	269.000000	40826.058594
Mobile Home	CR03	2000-09	0.000000	1.000000	67.000000	0.000000
Mobile Home	CR03	2010s	0.000000	1.000000	67.000000	0.000000
Mobile Home	CR03	<1940	0.000000	1.000000	2.000000	0.000000
Multi-Family with 2 - 4 Units	CR03	1940-59	0.186082	0.813918	25.000000	180512.296875
Multi-Family with 2 - 4 Units	CR03	1960-79	0.520622	0.479378	25.000000	162591.156250
Multi-Family with 2 - 4 Units	CR03	1980-99	0.354429	0.645571	12.000000	86050.671875
Multi-Family with 2 - 4 Units	CR03	2000-09	0.051610	0.948390	46.000000	13359.655273
Multi-Family with 2 - 4 Units	CR03	2010s	0.051610	0.948390	46.000000	13359.655273
Multi-Family with 2 - 4 Units	CR03	<1940	0.226885	0.773115	94.000000	571137.125000
Multi-Family with 5+ Units	CR03	1940-59	0.729935	0.270065	16.000000	93316.140625
Multi-Family with 5+ Units	CR03	1960-79	0.837139	0.162861	44.000000	273637.062500
Multi-Family with 5+ Units	CR03	1980-99	0.747433	0.252567	42.000000	269767.906250
Multi-Family with 5+ Units	CR03	2000-09	0.184708	0.815292	234.000000	23629.224609
Multi-Family with 5+ Units	CR03	2010s	0.184708	0.815292	234.000000	23629.224609
Multi-Family with 5+ Units	CR03	<1940	0.673312	0.326688	49.000000	341073.062500
Single-Family Attached	CR03	1940-59	0.093820	0.906180	99.000000	30605.300781
Single-Family Attached	CR03	1960-79	0.069635	0.930365	209.000000	34653.378906
Single-Family Attached	CR03	1980-99	0.081097	0.918903	31.000000	129129.460938
Single-Family Attached	CR03	2000-09	0.034943	0.965057	152.000000	16674.974609
Single-Family Attached	CR03	2010s	0.034943	0.965057	152.000000	16674.974609
Single-Family Attached	CR03	<1940	0.184024	0.815976	12.000000	57741.281250
Single-Family Detached	CR03	1940-59	0.000000	1.000000	124.000000	705293.125000
Single-Family Detached	CR03	1960-79	0.000000	1.000000	116.000000	688860.125000
Single-Family Detached	CR03	1980-99	0.000000	1.000000	104.000000	621111.062500
Single-Family Detached	CR03	2000-09	0.000000	1.000000	47.000000	140284.531250
Single-Family Detached	CR03	2010s	0.000000	1.000000	47.000000	140284.531250
Single-Family Detached	CR03	<1940	0.000000	1.000000	144.000000	793284.687500
Mobile Home	CR04	1940-59	0.000000	1.000000	13.000000	0.000000
Mobile Home	CR04	1960-79	0.000000	1.000000	182.000000	158883.234375
Mobile Home	CR04	1980-99	0.000000	1.000000	14.000000	318678.125000
Mobile Home	CR04	2000-09	0.000000	1.000000	67.000000	15782.679688
Mobile Home	CR04	2010s	0.000000	1.000000	67.000000	15782.679688
Mobile Home	CR04	<1940	0.000000	1.000000	2.000000	0.000000
Multi-Family with 2 - 4 Units	CR04	1940-59	0.291478	0.708522	12.000000	283636.937500
Multi-Family with 2 - 4 Units	CR04	1960-79	0.391937	0.608063	19.000000	397236.125000
