Dependency=Location Region	Dependency=Vintage	Option=Masonry	Option=WoodStud	[For Reference Only] Source Sample Size	[For Reference Only] Source Weight
CR02	1940s	0.260708	0.739292	39.000000	263528.375000
CR02	1950s	0.218969	0.781031	118.000000	788014.250000
CR02	1960s	0.274505	0.725495	99.000000	660965.312500
CR02	1970s	0.211127	0.788873	168.000000	1099117.250000
CR02	1980s	0.180013	0.819987	121.000000	773040.625000
CR02	1990s	0.098290	0.901710	117.000000	763717.250000
CR02	2000s	0.166544	0.833456	108.000000	673198.625000
CR02	2010s	0.166544	0.833456	0.000000	0.000000
CR02	<1940	0.149998	0.850002	171.000000	1158914.875000
CR03	1940s	0.183328	0.816672	47.000000	269755.500000
CR03	1950s	0.079544	0.920456	125.000000	739971.375000
CR03	1960s	0.285014	0.714986	93.000000	550465.125000
CR03	1970s	0.225927	0.774073	109.000000	652887.375000
CR03	1980s	0.230700	0.769300	137.000000	806278.187500
CR03	1990s	0.000000	1.000000	61.000000	340607.000000
CR03	2000s	0.077455	0.922545	67.000000	387896.750000
CR03	2010s	0.077455	0.922545	0.000000	0.000000
CR03	<1940	0.162818	0.837182	299.000000	1763236.125000
CR04	1940s	0.279038	0.720962	63.000000	986498.250000
CR04	1950s	0.402878	0.597122	139.000000	2326693.750000
CR04	1960s	0.497987	0.502013	123.000000	2093687.875000
CR04	1970s	0.498552	0.501448	133.000000	2288709.500000
CR04	1980s	0.312424	0.687576	96.000000	1751110.625000
CR04	1990s	0.243615	0.756385	105.000000	1827250.250000
CR04	2000s	0.315284	0.684716	76.000000	1338768.500000
CR04	2010s	0.315284	0.684716	0.000000	0.000000
CR04	<1940	0.362816	0.637184	173.000000	2968421.250000
CR05	1940s	0.376939	0.623061	8.000000	113642.296875
CR05	1950s	0.352109	0.647891	30.000000	321703.312500
CR05	1960s	0.507847	0.492153	26.000000	213331.546875
CR05	1970s	0.263669	0.736331	118.000000	838185.687500
CR05	1980s	0.171504	0.828496	90.000000	787796.187500
CR05	1990s	0.243810	0.756190	80.000000	731310.875000
CR05	2000s	0.422222	0.577778	62.000000	576091.500000
CR05	2010s	0.422222	0.577778	0.000000	0.000000
CR05	<1940	0.549168	0.450832	31.000000	338530.375000
CR06	1940s	0.286792	0.713208	10.000000	108616.500000
CR06	1950s	0.189793	0.810207	31.000000	336165.468750
CR06	1960s	0.120356	0.879644	54.000000	577343.625000
CR06	1970s	0.050390	0.949610	47.000000	490867.937500
CR06	1980s	0.047698	0.952302	66.000000	667449.937500
CR06	1990s	0.030284	0.969716	63.000000	682301.625000
CR06	2000s	0.051870	0.948130	58.000000	585226.875000
CR06	2010s	0.051870	0.948130	0.000000	0.000000
CR06	<1940	0.144663	0.855337	38.000000	398488.593750
CR07	1940s	0.632781	0.367219	104.000000	1058629.375000
CR07	1950s	0.428523	0.571477	240.000000	2674402.750000
CR07	1960s	0.462085	0.537915	186.000000	2022729.875000
CR07	1970s	0.385163	0.614837	159.000000	1928237.000000
CR07	1980s	0.325288	0.674712	118.000000	1424628.375000
CR07	1990s	0.240546	0.759454	89.000000	1109901.750000
CR07	2000s	0.252049	0.747951	98.000000	1248561.875000
CR07	2010s	0.252049	0.747951	0.000000	0.000000
CR07	<1940	0.502697	0.497303	334.000000	3792259.250000
CR08	1940s	0.439453	0.560547	80.000000	678959.062500
CR08	1950s	0.436076	0.563924	190.000000	1308334.625000
CR08	1960s	0.530254	0.469746	212.000000	1551433.000000
CR08	1970s	0.445075	0.554926	328.000000	2408617.750000
CR08	1980s	0.316525	0.683475	255.000000	2111508.250000
CR08	1990s	0.286744	0.713256	302.000000	2539058.500000
CR08	2000s	0.356696	0.643304	307.000000	2289566.000000
CR08	2010s	0.356696	0.643304	0.000000	0.000000
CR08	<1940	0.452893	0.547107	206.000000	1550085.500000
CR09	1940s	0.432119	0.567881	111.000000	1059438.875000
CR09	1950s	0.471493	0.528507	286.000000	2745943.250000
CR09	1960s	0.684412	0.315588	334.000000	3327770.250000
CR09	1970s	0.660423	0.339577	514.000000	4968035.500000
CR09	1980s	0.513308	0.486692	603.000000	5885774.500000
CR09	1990s	0.448748	0.551252	573.000000	5974077.000000
CR09	2000s	0.510205	0.489795	659.000000	6479666.500000
CR09	2010s	0.510205	0.489795	0.000000	0.000000
CR09	<1940	0.271623	0.728377	124.000000	1357769.250000
CR10	1940s	1.000000	0.000000	2.000000	15948.900391
CR10	1950s	0.743861	0.256139	18.000000	212219.953125
CR10	1960s	0.720638	0.279362	18.000000	186049.875000
CR10	1970s	0.714895	0.285105	81.000000	795593.187500
CR10	1980s	0.718410	0.281590	71.000000	818635.500000
CR10	1990s	0.776347	0.223653	89.000000	971213.437500
CR10	2000s	0.903625	0.096375	83.000000	917632.000000
CR10	2010s	0.903625	0.096375	0.000000	0.000000
CR10	<1940	0.654133	0.345867	5.000000	67391.273438
CR11	1940s	0.721746	0.278254	79.000000	601399.500000
CR11	1950s	0.752700	0.247300	264.000000	1997365.750000
CR11	1960s	0.808023	0.191977	262.000000	2005932.625000
CR11	1970s	0.672620	0.327380	330.000000	2526129.500000
CR11	1980s	0.702261	0.297739	232.000000	1781272.250000
CR11	1990s	0.704148	0.295852	177.000000	1317830.875000
CR11	2000s	0.832828	0.167172	129.000000	948427.625000
CR11	2010s	0.832828	0.167172	0.000000	0.000000
CR11	<1940	0.659331	0.340669	133.000000	1036533.437500
Created by: recs\2009\tsv_maker.py using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata					
