Dependency=Location EPW	Option=East North Central	Option=Middle Atlantic	Option=Mountain - Pacific	Option=New England	Option=South Atlantic - East South Central	Option=West North Central	Option=West South Central	Count	Weight
USA_AL_Birmingham.Muni.AP.722280_TMY3.epw	0	0	0	0	1	0	0	1	494704.0675
USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	0	0	0	0	1	0	0	1	405125.5093
USA_AL_Mobile-Rgnl.AP.722230_TMY3.epw	0	0	0	0	1	0	0	1	542238.4297
USA_AL_Montgomery-Dannelly.Field.722260_TMY3.epw	0	0	0	0	1	0	0	1	288899.4833
USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	0	0	0	0	0	0	1	1	251796.0915
USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	0	0	0	0	0	0	1	1	444018.7339
USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	0	0	1	0	0	0	0	1	104470.2944
USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw	0	0	1	0	0	0	0	1	1162538.616
USA_AZ_Prescott-Love.Field.723723_TMY3.epw	0	0	1	0	0	0	0	1	105809.704
USA_AZ_Tucson.Intl.AP.722740_TMY3.epw	0	0	1	0	0	0	0	1	326092.1182
USA_CA_Arcata.AP.725945_TMY3.epw	0	0	1	0	0	0	0	1	123960.6687
USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	0	0	1	0	0	0	0	1	230011.1262
USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	0	0	1	0	0	0	0	1	457051.6246
USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	0	0	1	0	0	0	0	1	451045.418
USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw	0	0	1	0	0	0	0	1	1770829.582
USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw	0	0	1	0	0	0	0	1	1140484.365
USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	0	0	1	0	0	0	0	1	1257715.507
USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw	0	0	1	0	0	0	0	1	781285.5036
USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	0	0	1	0	0	0	0	1	1495638.775
USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	0	0	1	0	0	0	0	1	166393.9093
USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	0	0	1	0	0	0	0	1	89471.55563
USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	0	0	1	0	0	0	0	1	767919.1556
USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	0	0	1	0	0	0	0	1	304080.6457
USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	0	0	1	0	0	0	0	1	75561.13479
USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	0	0	1	0	0	0	0	1	93518.90353
USA_CO_Pueblo.Mem.AP.724640_TMY3.epw	0	0	1	0	0	0	0	1	71594.36539
