Dependency=Geometry Building Type RECS	Dependency=Geometry Wall Type	Dependency=Vintage ACS	Option=Crawl	Option=Heated Basement	Option=Pier and Beam	Option=Slab	Option=Unheated Basement	sample_count	sample_weight
Mobile Home	Masonry	1940-59	0	0	1	0	0	0	0
Mobile Home	WoodStud	1940-59	0	0	1	0	0	0	0
Mobile Home	Masonry	1960-79	0	0	1	0	0	0	0
Mobile Home	WoodStud	1960-79	0	0	1	0	0	20	264501.875
Mobile Home	Masonry	1980-99	0	0	1	0	0	0	0
Mobile Home	WoodStud	1980-99	0	0	1	0	0	31	336395.8438
Mobile Home	Masonry	2000-09	0	0	1	0	0	0	0
Mobile Home	WoodStud	2000-09	0	0	1	0	0	2	25240.55469
Mobile Home	Masonry	2010s	0	0	1	0	0	0	0
Mobile Home	WoodStud	2010s	0	0	1	0	0	2	25240.55469
Mobile Home	Masonry	<1940	0	0	1	0	0	0	0
Mobile Home	WoodStud	<1940	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	Masonry	1940-59	0.220841	0	0	0.370911	0.408248	99	357136.5
Multi-Family with 2 - 4 Units	WoodStud	1940-59	0.241232	0	0	0.277393	0.481374	304	793008.625
Multi-Family with 2 - 4 Units	Masonry	1960-79	0.280633	0	0	0.380814	0.338553	81	266825.2813
Multi-Family with 2 - 4 Units	WoodStud	1960-79	0.228566	0	0	0.388733	0.382701	321	796485
Multi-Family with 2 - 4 Units	Masonry	1980-99	0.302826	0	0	0.53153	0.165643	46	145281.1406
Multi-Family with 2 - 4 Units	WoodStud	1980-99	0.294524	0	0	0.295131	0.410346	297	740424.8125
Multi-Family with 2 - 4 Units	Masonry	2000-09	0.487892	0	0	0.349077	0.163031	18	28475.56445
Multi-Family with 2 - 4 Units	WoodStud	2000-09	0.048824	0	0	0.596322	0.354854	134	179801.9219
Multi-Family with 2 - 4 Units	Masonry	2010s	0.487892	0	0	0.349077	0.163031	18	28475.56445
Multi-Family with 2 - 4 Units	WoodStud	2010s	0.048824	0	0	0.596322	0.354854	134	179801.9219
Multi-Family with 2 - 4 Units	Masonry	<1940	0.226282	0	0	0.127062	0.646656	55	194973.6406
Multi-Family with 2 - 4 Units	WoodStud	<1940	0.235442	0	0	0.0856	0.678958	326	775367.625
Multi-Family with 5+ Units	Masonry	1940-59	0.220841	0	0	0.370911	0.408248	99	357136.5
Multi-Family with 5+ Units	WoodStud	1940-59	0.241232	0	0	0.277393	0.481374	304	793008.625
Multi-Family with 5+ Units	Masonry	1960-79	0.280633	0	0	0.380814	0.338553	81	266825.2813
Multi-Family with 5+ Units	WoodStud	1960-79	0.228566	0	0	0.388733	0.382701	321	796485
Multi-Family with 5+ Units	Masonry	1980-99	0.302826	0	0	0.53153	0.165643	46	145281.1406
Multi-Family with 5+ Units	WoodStud	1980-99	0.294524	0	0	0.295131	0.410346	297	740424.8125
Multi-Family with 5+ Units	Masonry	2000-09	0.487892	0	0	0.349077	0.163031	18	28475.56445
Multi-Family with 5+ Units	WoodStud	2000-09	0.048824	0	0	0.596322	0.354854	134	179801.9219
Multi-Family with 5+ Units	Masonry	2010s	0.487892	0	0	0.349077	0.163031	18	28475.56445
Multi-Family with 5+ Units	WoodStud	2010s	0.048824	0	0	0.596322	0.354854	134	179801.9219
Multi-Family with 5+ Units	Masonry	<1940	0.226282	0	0	0.127062	0.646656	55	194973.6406
Multi-Family with 5+ Units	WoodStud	<1940	0.235442	0	0	0.0856	0.678958	326	775367.625
Single-Family Attached	Masonry	1940-59	0.114152	0.483105	0	0.191722	0.211021	99	357136.5
Single-Family Attached	WoodStud	1940-59	0.162774	0.325241	0	0.187174	0.324812	304	793008.625
Single-Family Attached	Masonry	1960-79	0.174032	0.379859	0	0.236158	0.20995	81	266825.2813
Single-Family Attached	WoodStud	1960-79	0.148407	0.350706	0	0.252402	0.248485	321	796485
Single-Family Attached	Masonry	1980-99	0.212578	0.29802	0	0.373124	0.116278	46	145281.1406
Single-Family Attached	WoodStud	1980-99	0.192856	0.345194	0	0.193253	0.268697	297	740424.8125
Single-Family Attached	Masonry	2000-09	0.152979	0.686449	0	0.109453	0.051119	18	28475.56445
Single-Family Attached	WoodStud	2000-09	0.02979	0.389859	0	0.363841	0.216511	134	179801.9219
Single-Family Attached	Masonry	2010s	0.152979	0.686449	0	0.109453	0.051119	18	28475.56445
Single-Family Attached	WoodStud	2010s	0.02979	0.389859	0	0.363841	0.216511	134	179801.9219
Single-Family Attached	Masonry	<1940	0.155766	0.311631	0	0.087465	0.445137	55	194973.6406
Single-Family Attached	WoodStud	<1940	0.174609	0.258376	0	0.063483	0.503531	326	775367.625
Single-Family Detached	Masonry	1940-59	0.111357	0.471279	0.024479	0.187029	0.205855	99	357136.5
Single-Family Detached	WoodStud	1940-59	0.158987	0.317674	0.023263	0.182819	0.317256	304	793008.625
Single-Family Detached	Masonry	1960-79	0.174032	0.379859	0	0.236158	0.20995	81	266825.2813
Single-Family Detached	WoodStud	1960-79	0.143897	0.340049	0.030388	0.244732	0.240934	321	796485
Single-Family Detached	Masonry	1980-99	0.201249	0.282137	0.053295	0.353238	0.110081	46	145281.1406
Single-Family Detached	WoodStud	1980-99	0.189692	0.339531	0.016406	0.190083	0.264288	297	740424.8125
Single-Family Detached	Masonry	2000-09	0.046407	0.427463	0.007556	0.326312	0.192262	18	28475.56445
Single-Family Detached	WoodStud	2000-09	0.046407	0.427463	0.007556	0.326312	0.192262	134	179801.9219
Single-Family Detached	Masonry	2010s	0.046407	0.427463	0.007556	0.326312	0.192262	18	28475.56445
Single-Family Detached	WoodStud	2010s	0.046407	0.427463	0.007556	0.326312	0.192262	134	179801.9219
Single-Family Detached	Masonry	<1940	0.152543	0.305183	0.020692	0.085656	0.435927	55	194973.6406
Single-Family Detached	WoodStud	<1940	0.173689	0.257014	0.005272	0.063149	0.500877	326	775367.625
