Dependency=Geometry Building Type RECS	Dependency=Usage Level	Option=290 Rated kWh, 100% Usage	Option=290 Rated kWh, 120% Usage	Option=290 Rated kWh, 80% Usage	Option=318 Rated kWh, 100% Usage	Option=318 Rated kWh, 120% Usage	Option=318 Rated kWh, 80% Usage	Option=None	sample_count	sample_weight	resstock_probability
Mobile Home	Average	0.075068	0.0	0.0	0.10318699999999999	0.0	0.0	0.8217450000000001	5.75	127281.6797	0.0
Multi-Family with 2 - 4 Units	Average	0.140882	0.0	0.0	0.14902200000000002	0.0	0.0	0.710096	13.75	319229.1563	0.0
Multi-Family with 5+ Units	Average	0.08570599999999999	0.0	0.0	0.196595	0.0	0.0	0.717699	30.25	600401.9375	0.0
Single-Family Attached	Average	0.132974	0.0	0.0	0.195499	0.0	0.0	0.6715270000000001	10.75	172686.7813	0.0
Single-Family Detached	Average	0.267119	0.0	0.0	0.172265	0.0	0.0	0.560616	166.5	2675685.5	0.0
Mobile Home	Medium	0.075068	0.0	0.0	0.10318699999999999	0.0	0.0	0.8217450000000001	5.75	127281.6797	0.0035816900392525407
Multi-Family with 2 - 4 Units	Medium	0.140882	0.0	0.0	0.14902200000000002	0.0	0.0	0.710096	13.75	319229.1563	0.096400406218727
Multi-Family with 5+ Units	Medium	0.08570599999999999	0.0	0.0	0.196595	0.0	0.0	0.717699	30.25	600401.9375	0.16305128343203157
Single-Family Attached	Medium	0.132974	0.0	0.0	0.195499	0.0	0.0	0.6715270000000001	10.75	172686.7813	0.027253588571081788
Single-Family Detached	Medium	0.267119	0.0	0.0	0.172265	0.0	0.0	0.560616	166.5	2675685.5	0.20971146866818052
Mobile Home	Low	0.0	0.0	0.075068	0.0	0.0	0.10318699999999999	0.8217450000000001	5.75	127281.6797	0.0017908450196262703
Multi-Family with 2 - 4 Units	Low	0.0	0.0	0.140882	0.0	0.0	0.14902200000000002	0.710096	13.75	319229.1563	0.0482002031093635
Multi-Family with 5+ Units	Low	0.0	0.0	0.08570599999999999	0.0	0.0	0.196595	0.717699	30.25	600401.9375	0.08152564171601578
Single-Family Attached	Low	0.0	0.0	0.132974	0.0	0.0	0.195499	0.6715270000000001	10.75	172686.7813	0.013626794285540894
Single-Family Detached	Low	0.0	0.0	0.267119	0.0	0.0	0.172265	0.560616	166.5	2675685.5	0.10485573433409026
Mobile Home	High	0.0	0.075068	0.0	0.0	0.10318699999999999	0.0	0.8217450000000001	5.75	127281.6797	0.0017908450196262703
Multi-Family with 2 - 4 Units	High	0.0	0.140882	0.0	0.0	0.14902200000000002	0.0	0.710096	13.75	319229.1563	0.0482002031093635
Multi-Family with 5+ Units	High	0.0	0.08570599999999999	0.0	0.0	0.196595	0.0	0.717699	30.25	600401.9375	0.08152564171601578
Single-Family Attached	High	0.0	0.132974	0.0	0.0	0.195499	0.0	0.6715270000000001	10.75	172686.7813	0.013626794285540894
Single-Family Detached	High	0.0	0.267119	0.0	0.0	0.172265	0.0	0.560616	166.5	2675685.5	0.10485573433409026
