Dependency=Clothes Washer Presence	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=Usage Level	Option=Electric, 100% Usage	Option=Electric, 120% Usage	Option=Electric, 80% Usage	Option=Gas, 100% Usage	Option=Gas, 120% Usage	Option=Gas, 80% Usage	Option=None	Option=Propane, 100% Usage	Option=Propane, 120% Usage	Option=Propane, 80% Usage	sample_count	sample_weight	resstock_probability
None	Mobile Home	Electricity	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	Fuel Oil	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	Natural Gas	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	None	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	Other Fuel	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	Propane	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Multi-Family with 2 - 4 Units	Electricity	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	9505.082031	0.0
None	Multi-Family with 2 - 4 Units	Fuel Oil	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Multi-Family with 2 - 4 Units	Natural Gas	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	27.75	53804.60938	0.0
None	Multi-Family with 2 - 4 Units	None	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Multi-Family with 2 - 4 Units	Other Fuel	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Multi-Family with 2 - 4 Units	Propane	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Multi-Family with 5+ Units	Electricity	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	34.0	57771.05078	0.0
None	Multi-Family with 5+ Units	Fuel Oil	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5	1038.30896	0.0
None	Multi-Family with 5+ Units	Natural Gas	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	45.75	82853.39063	0.0
None	Multi-Family with 5+ Units	None	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Multi-Family with 5+ Units	Other Fuel	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1100.310425	0.0
None	Multi-Family with 5+ Units	Propane	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1122.987061	0.0
None	Single-Family Attached	Electricity	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5	283.092194	0.0
None	Single-Family Attached	Fuel Oil	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Attached	Natural Gas	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.25	2532.882324	0.0
None	Single-Family Attached	None	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Attached	Other Fuel	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Attached	Propane	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Electricity	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1420.570557	0.0
None	Single-Family Detached	Fuel Oil	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Natural Gas	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.25	8087.323242	0.0
None	Single-Family Detached	None	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Other Fuel	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Propane	Average	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	Electricity	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	Fuel Oil	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0001222212841414197
None	Mobile Home	Natural Gas	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	None	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00013037986048928727
None	Mobile Home	Other Fuel	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.000149107960637279
None	Mobile Home	Propane	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
