Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated	Option=Wall R-5	Option=Wall R-10	Option=Wall R-15	Option=None	resstock_probability
<1940	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.009533104818156751
1950s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.005303953296466379
1960s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.004381802702617863
1970s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.004181967876412201
1980s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.002396052342910497
1990s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0022291358091848794
2000s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0025512877482514024
<1940	Crawl	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0012388989413360714
1950s	Crawl	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0006892887730944611
1960s	Crawl	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.000569448341643897
1970s	Crawl	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.000543478297324575
1980s	Crawl	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.000311385090968882
1990s	Crawl	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0002896930272741352
2000s	Crawl	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.00033155910384330563
<1940	Crawl	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0001628171639213893
1950s	Crawl	Mobile Home	0.0	0.0	0.0	0.0	1.0	9.05869231247091e-05
1960s	Crawl	Mobile Home	0.0	0.0	0.0	0.0	1.0	7.483739059959934e-05
1970s	Crawl	Mobile Home	0.0	0.0	0.0	0.0	1.0	7.142438504934454e-05
1980s	Crawl	Mobile Home	0.0	0.0	0.0	0.0	1.0	4.092249634524815e-05
1990s	Crawl	Mobile Home	0.0	0.0	0.0	0.0	1.0	3.8071706686349936e-05
2000s	Crawl	Mobile Home	0.0	0.0	0.0	0.0	1.0	4.357378246030846e-05
<1940	Crawl	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.004382188455558957
1950s	Crawl	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.002438127278358502
1960s	Crawl	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0020142320455112514
1970s	Crawl	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0019223717455228151
1980s	Crawl	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0011014200636941661
1990s	Crawl	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0010246916817989854
