Dependency=Geometry Building Type RECS	Dependency=Usage Level	Option=EF 10.2	Option=EF 10.5	Option=EF 15.9	Option=EF 17.6	Option=EF 6.7	sample_count	sample_weight	resstock_probability
Mobile Home	Average	0.024380000000000002	0.066827	0.321826	0.562587	0.024380000000000002	133.25	1710517.0	0.0
Multi-Family with 2 - 4 Units	Medium	0.013683	0.07374700000000001	0.322583	0.576304	0.013683	230.25	2243989.5	0.096400406218727
Multi-Family with 5+ Units	Low	0.01475	0.061489999999999996	0.300636	0.60787	0.014727	475.0	4721506.0	0.08148267770283145
Single-Family Attached	High	0.015515000000000001	0.06651	0.281868	0.6203270000000001	0.015502000000000002	221.75	1674581.625	0.013623006036729514
Single-Family Detached	Average	0.012364	0.069471	0.256486	0.648904	0.012347	1935.75	17833094.0	0.0
Mobile Home	Medium	0.024380000000000002	0.066827	0.321826	0.562587	0.024380000000000002	133.25	1710517.0	0.0035816900392525407
Multi-Family with 2 - 4 Units	Low	0.013683	0.07374700000000001	0.322583	0.576304	0.013683	230.25	2243989.5	0.0482002031093635
Multi-Family with 5+ Units	High	0.01475	0.061489999999999996	0.300636	0.60787	0.014727	475.0	4721506.0	0.08148267770283145
Single-Family Attached	Average	0.015515000000000001	0.06651	0.281868	0.6203270000000001	0.015502000000000002	221.75	1674581.625	0.0
Single-Family Detached	Medium	0.012364	0.069471	0.256486	0.648904	0.012347	1935.75	17833094.0	0.20962171215959055
Mobile Home	Low	0.024380000000000002	0.066827	0.321826	0.562587	0.024380000000000002	133.25	1710517.0	0.0017908450196262703
Multi-Family with 2 - 4 Units	High	0.013683	0.07374700000000001	0.322583	0.576304	0.013683	230.25	2243989.5	0.0482002031093635
Multi-Family with 5+ Units	Average	0.01475	0.061489999999999996	0.300636	0.60787	0.014727	475.0	4721506.0	0.0
Single-Family Attached	Medium	0.015515000000000001	0.06651	0.281868	0.6203270000000001	0.015502000000000002	221.75	1674581.625	0.027246012073459027
Single-Family Detached	Low	0.012364	0.069471	0.256486	0.648904	0.012347	1935.75	17833094.0	0.10481085607979528
Mobile Home	High	0.024380000000000002	0.066827	0.321826	0.562587	0.024380000000000002	133.25	1710517.0	0.0017908450196262703
Multi-Family with 2 - 4 Units	Average	0.013683	0.07374700000000001	0.322583	0.576304	0.013683	230.25	2243989.5	0.0
Multi-Family with 5+ Units	Medium	0.01475	0.061489999999999996	0.300636	0.60787	0.014727	475.0	4721506.0	0.1629653554056629
Single-Family Attached	Low	0.015515000000000001	0.06651	0.281868	0.6203270000000001	0.015502000000000002	221.75	1674581.625	0.013623006036729514
Single-Family Detached	High	0.012364	0.069471	0.256486	0.648904	0.012347	1935.75	17833094.0	0.10481085607979528
