Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=Electric Boiler	Option=Electric Furnace	Option=Electric Baseboard
<1940	Electricity	No	Neither Shared	0	0	0.443415	0.556585
<1940	Electricity	Yes	Neither Shared	1	0	0	0
<1940	Fuel Oil	No	Neither Shared	1	0	0	0
<1940	Fuel Oil	Yes	Neither Shared	1	0	0	0
<1940	Natural Gas	No	Neither Shared	1	0	0	0
<1940	Natural Gas	Yes	Neither Shared	1	0	0	0
<1940	None	No	Neither Shared	1	0	0	0
<1940	None	Yes	Neither Shared	1	0	0	0
<1940	Other Fuel	No	Neither Shared	1	0	0	0
<1940	Other Fuel	Yes	Neither Shared	1	0	0	0
<1940	Propane	No	Neither Shared	1	0	0	0
<1940	Propane	Yes	Neither Shared	1	0	0	0
<1940	Electricity	No	Only Cooling Shared	0	0	0.443415	0.556585
<1940	Electricity	Yes	Only Cooling Shared	1	0	0	0
<1940	Fuel Oil	No	Only Cooling Shared	1	0	0	0
<1940	Fuel Oil	Yes	Only Cooling Shared	1	0	0	0
<1940	Natural Gas	No	Only Cooling Shared	1	0	0	0
<1940	Natural Gas	Yes	Only Cooling Shared	1	0	0	0
<1940	None	No	Only Cooling Shared	1	0	0	0
<1940	None	Yes	Only Cooling Shared	1	0	0	0
<1940	Other Fuel	No	Only Cooling Shared	1	0	0	0
<1940	Other Fuel	Yes	Only Cooling Shared	1	0	0	0
<1940	Propane	No	Only Cooling Shared	1	0	0	0
<1940	Propane	Yes	Only Cooling Shared	1	0	0	0
<1940	Electricity	No	Only Heating Shared	1	0	0	0
<1940	Electricity	Yes	Only Heating Shared	1	0	0	0
<1940	Fuel Oil	No	Only Heating Shared	1	0	0	0
<1940	Fuel Oil	Yes	Only Heating Shared	1	0	0	0
<1940	Natural Gas	No	Only Heating Shared	1	0	0	0
<1940	Natural Gas	Yes	Only Heating Shared	1	0	0	0
<1940	None	No	Only Heating Shared	1	0	0	0
<1940	None	Yes	Only Heating Shared	1	0	0	0
<1940	Other Fuel	No	Only Heating Shared	1	0	0	0
<1940	Other Fuel	Yes	Only Heating Shared	1	0	0	0
<1940	Propane	No	Only Heating Shared	1	0	0	0
<1940	Propane	Yes	Only Heating Shared	1	0	0	0
<1940	Electricity	No	Both Shared	1	0	0	0
<1940	Electricity	Yes	Both Shared	1	0	0	0
<1940	Fuel Oil	No	Both Shared	1	0	0	0
<1940	Fuel Oil	Yes	Both Shared	1	0	0	0
<1940	Natural Gas	No	Both Shared	1	0	0	0
<1940	Natural Gas	Yes	Both Shared	1	0	0	0
<1940	None	No	Both Shared	1	0	0	0
<1940	None	Yes	Both Shared	1	0	0	0
<1940	Other Fuel	No	Both Shared	1	0	0	0
<1940	Other Fuel	Yes	Both Shared	1	0	0	0
<1940	Propane	No	Both Shared	1	0	0	0
<1940	Propane	Yes	Both Shared	1	0	0	0
1940s	Electricity	No	Neither Shared	0	0	0.443415	0.556585
1940s	Electricity	Yes	Neither Shared	1	0	0	0
1940s	Fuel Oil	No	Neither Shared	1	0	0	0
1940s	Fuel Oil	Yes	Neither Shared	1	0	0	0
1940s	Natural Gas	No	Neither Shared	1	0	0	0
1940s	Natural Gas	Yes	Neither Shared	1	0	0	0
1940s	None	No	Neither Shared	1	0	0	0
1940s	None	Yes	Neither Shared	1	0	0	0
1940s	Other Fuel	No	Neither Shared	1	0	0	0
1940s	Other Fuel	Yes	Neither Shared	1	0	0	0
1940s	Propane	No	Neither Shared	1	0	0	0
1940s	Propane	Yes	Neither Shared	1	0	0	0
1940s	Electricity	No	Only Cooling Shared	0	0	0.443415	0.556585
1940s	Electricity	Yes	Only Cooling Shared	1	0	0	0
1940s	Fuel Oil	No	Only Cooling Shared	1	0	0	0
1940s	Fuel Oil	Yes	Only Cooling Shared	1	0	0	0
1940s	Natural Gas	No	Only Cooling Shared	1	0	0	0
1940s	Natural Gas	Yes	Only Cooling Shared	1	0	0	0
1940s	None	No	Only Cooling Shared	1	0	0	0
1940s	None	Yes	Only Cooling Shared	1	0	0	0
1940s	Other Fuel	No	Only Cooling Shared	1	0	0	0
1940s	Other Fuel	Yes	Only Cooling Shared	1	0	0	0
1940s	Propane	No	Only Cooling Shared	1	0	0	0
1940s	Propane	Yes	Only Cooling Shared	1	0	0	0
1940s	Electricity	No	Only Heating Shared	1	0	0	0
1940s	Electricity	Yes	Only Heating Shared	1	0	0	0
1940s	Fuel Oil	No	Only Heating Shared	1	0	0	0
1940s	Fuel Oil	Yes	Only Heating Shared	1	0	0	0
1940s	Natural Gas	No	Only Heating Shared	1	0	0	0
1940s	Natural Gas	Yes	Only Heating Shared	1	0	0	0
1940s	None	No	Only Heating Shared	1	0	0	0
1940s	None	Yes	Only Heating Shared	1	0	0	0
1940s	Other Fuel	No	Only Heating Shared	1	0	0	0
1940s	Other Fuel	Yes	Only Heating Shared	1	0	0	0
1940s	Propane	No	Only Heating Shared	1	0	0	0
1940s	Propane	Yes	Only Heating Shared	1	0	0	0
1940s	Electricity	No	Both Shared	1	0	0	0
1940s	Electricity	Yes	Both Shared	1	0	0	0
1940s	Fuel Oil	No	Both Shared	1	0	0	0
1940s	Fuel Oil	Yes	Both Shared	1	0	0	0
1940s	Natural Gas	No	Both Shared	1	0	0	0
1940s	Natural Gas	Yes	Both Shared	1	0	0	0
1940s	None	No	Both Shared	1	0	0	0
1940s	None	Yes	Both Shared	1	0	0	0
1940s	Other Fuel	No	Both Shared	1	0	0	0
1940s	Other Fuel	Yes	Both Shared	1	0	0	0
1940s	Propane	No	Both Shared	1	0	0	0
1940s	Propane	Yes	Both Shared	1	0	0	0
1950s	Electricity	No	Neither Shared	0	0	0.354046	0.645954
1950s	Electricity	Yes	Neither Shared	1	0	0	0
