Dependency=Vintage	Dependency=Geometry Building Type RECS	Option=1 Pane	Option=2+ Pane	Option=No Windows	Count	Weight	resstock_probability
<1940	Mobile Home	1.0	0.0	0.0	0.0	0.0	0.002035214549017366
<1940	Multi-Family with 2 - 4 Units	0.493647	0.506352	0.0	205.0	2122334.44	0.05477730091713126
<1940	Multi-Family with 5+ Units	0.43637600000000004	0.5636220000000001	0.0	185.0	1850540.616	0.09265002748741163
<1940	Single-Family Attached	0.440072	0.559923	0.0	87.0	869626.6432	0.015486159335517058
<1940	Single-Family Detached	0.401976	0.59707	0.000953	543.0	5996297.814	0.11916369106314917
1940s	Mobile Home	1.0	0.0	0.0	0.0	0.0	0.0005496073887695136
1940s	Multi-Family with 2 - 4 Units	0.493647	0.506352	0.0	205.0	2122334.44	0.01479254820355036
1940s	Multi-Family with 5+ Units	0.43637600000000004	0.5636220000000001	0.0	185.0	1850540.616	0.02502003521022661
1940s	Single-Family Attached	0.440072	0.559923	0.0	87.0	869626.6432	0.004182019826151277
1940s	Single-Family Detached	0.401976	0.59707	0.000953	543.0	5996297.814	0.032180020093201284
1950s	Mobile Home	1.0	0.0	0.0	0.0	0.0	0.0011323365390588638
1950s	Multi-Family with 2 - 4 Units	0.3381	0.661894	0.0	55.0	701953.3942	0.03047640811993539
1950s	Multi-Family with 5+ Units	0.371406	0.628586	0.0	49.0	519834.1457	0.051547578633480653
1950s	Single-Family Attached	0.478654	0.521328	0.0	24.0	223492.7568	0.008615954573706817
1950s	Single-Family Detached	0.257332	0.7368520000000001	0.005815	376.0	4295787.526	0.06629934990641353
1960s	Mobile Home	0.378581	0.621367	0.0	8.0	76890.87621	0.0009354187381911019
1960s	Multi-Family with 2 - 4 Units	0.465733	0.5342600000000001	0.0	44.0	598075.8774	0.025177724323586653
1960s	Multi-Family with 5+ Units	0.557967	0.442029	0.0	86.0	1029776.796	0.04258563570169051
1960s	Single-Family Attached	0.324723	0.6752560000000001	0.0	24.0	189995.6104	0.007117954790359033
1960s	Single-Family Detached	0.24180300000000002	0.756271	0.001924	240.0	2772143.557	0.05477242423765573
1970s	Mobile Home	0.769145	0.230841	0.0	23.0	285518.7965	0.000892792313849423
1970s	Multi-Family with 2 - 4 Units	0.440039	0.5599529999999999	0.0	41.0	475772.6587	0.024029454581860628
1970s	Multi-Family with 5+ Units	0.348995	0.6510020000000001	0.0	104.0	1308808.091	0.040643532052946144
1970s	Single-Family Attached	0.03997	0.9600190000000001	0.0	31.0	355579.5481	0.006793403988291306
1970s	Single-Family Detached	0.247678	0.74798	0.004340999999999999	202.0	2444154.555	0.052274546180554056
1980s	Mobile Home	0.470955	0.529034	0.0	22.0	367130.2687	0.0005115255774723544
1980s	Multi-Family with 2 - 4 Units	0.458167	0.541818	0.0	23.0	262391.7435	0.013767544279915129
1980s	Multi-Family with 5+ Units	0.301252	0.698743	0.0	81.0	889784.917	0.023286605327662736
1980s	Single-Family Attached	0.21724899999999997	0.782742	0.0	58.0	469824.8436	0.003892278606288291
1980s	Single-Family Detached	0.24351399999999998	0.747838	0.008646	167.0	1992885.359	0.029950594385072634
1990s	Mobile Home	0.454187	0.5457960000000001	0.0	16.0	243210.4417	0.0004758882433417034
1990s	Multi-Family with 2 - 4 Units	0.357711	0.642266	0.0	11.0	171574.0255	0.012808351423628798
1990s	Multi-Family with 5+ Units	0.24278899999999998	0.757205	0.0	46.0	688215.2937	0.02166436557806119
1990s	Single-Family Attached	0.31560900000000003	0.684371	0.0	18.0	200829.9279	0.0036210904176698713
1990s	Single-Family Detached	0.09623	0.8947700000000001	0.008998	164.0	1973929.391	0.027864141886415762
2000s	Mobile Home	0.562048	0.437881	0.0	3.0	56157.29372	0.0005446336090219222
2000s	Multi-Family with 2 - 4 Units	0.102177	0.897775	0.0	8.0	84291.48193	0.014659031972937405
2000s	Multi-Family with 5+ Units	0.108949	0.8910440000000001	0.0	45.0	563972.8442	0.02479524799379359
2000s	Single-Family Attached	0.020371	0.979608	0.0	22.0	190235.5077	0.004144401763776561
2000s	Single-Family Detached	0.08831	0.9116879999999999	0.0	163.0	2080569.959	0.03189103307094882
2010s	Mobile Home	0.562048	0.437881	0.0	3.0	56157.29372	8.582149571109303e-05
2010s	Multi-Family with 2 - 4 Units	0.102177	0.897775	0.0	8.0	84291.48193	0.0023099199695984693
2010s	Multi-Family with 5+ Units	0.108949	0.8910440000000001	0.0	45.0	563972.8442	0.003907150117262028
2010s	Single-Family Attached	0.020371	0.979608	0.0	22.0	190235.5077	0.0006530606123146545
2010s	Single-Family Detached	0.08831	0.9116879999999999	0.0	163.0	2080569.959	0.005025279587199686
