Dependency=Geometry Building Type RECS	Dependency=Vintage	Option=Masonry	Option=WoodStud	sample_count	resstock_probability
Mobile Home	1940s	0.0	1.0	0.0	0.0005496073887695136
Mobile Home	1950s	0.0	1.0	0.0	0.0011323365390588638
Mobile Home	1960s	0.0	1.0	0.0	0.0009354673824949917
Mobile Home	1970s	0.0	1.0	0.0	0.0008928048131168067
Mobile Home	1980s	0.0	1.0	0.0	0.0005115312043156017
Mobile Home	1990s	0.0	1.0	0.0	0.0004758963335793742
Mobile Home	2000s	0.0	1.0	0.0	0.0005446722807538558
Mobile Home	2010s	0.0	1.0	0.0	8.582758946994542e-05
Mobile Home	<1940	0.0	1.0	0.0	0.002035214549017366
Multi-Family with 2 - 4 Units	1940s	0.815204	0.184796	1664.0	0.014792562996113355
Multi-Family with 2 - 4 Units	1950s	0.874941	0.125059	6349.0	0.030476590979481265
Multi-Family with 2 - 4 Units	1960s	0.908123	0.091877	4272.0	0.025177900568890636
Multi-Family with 2 - 4 Units	1970s	0.903381	0.096619	2189.0	0.024029646819035185
Multi-Family with 2 - 4 Units	1980s	0.922881	0.07711900000000001	590.0	0.01376775079617707
Multi-Family with 2 - 4 Units	1990s	0.8372850000000001	0.162715	1223.0	0.012808646022487314
Multi-Family with 2 - 4 Units	2000s	0.791417	0.208583	1002.0	0.014659735640248136
Multi-Family with 2 - 4 Units	2010s	0.80303	0.19697	33.0	0.0023100308510793214
Multi-Family with 2 - 4 Units	<1940	0.6128170000000001	0.387183	114681.0	0.054777355694486954
Multi-Family with 5+ Units	1940s	0.912651	0.087349	166.0	0.025020085250397107
Multi-Family with 5+ Units	1950s	0.923939	0.076061	848.0	0.05154799101740879
Multi-Family with 5+ Units	1960s	0.942777	0.057223	1599.0	0.0425858060449147
Multi-Family with 5+ Units	1970s	0.962466	0.037534	1452.0	0.040643653983908096
Multi-Family with 5+ Units	1980s	0.97351	0.02649	151.0	0.023286721761271535
Multi-Family with 5+ Units	1990s	0.952174	0.047826	115.0	0.02166449556503458
Multi-Family with 5+ Units	2000s	0.922764	0.077236	123.0	0.02479542156174452
Multi-Family with 5+ Units	2010s	1.0	0.0	7.0	0.0039071774675043
Multi-Family with 5+ Units	<1940	0.882116	0.117884	9204.0	0.09265021278783722
Single-Family Attached	1940s	0.937204	0.062796	5701.0	0.0041820407363549585
Single-Family Attached	1950s	0.603266	0.396734	5757.0	0.008616109663680763
Single-Family Attached	1960s	0.644005	0.355995	7465.0	0.007118104270548712
Single-Family Attached	1970s	0.28170700000000004	0.7182930000000001	7790.0	0.006793478716557187
Single-Family Attached	1980s	0.313703	0.686297	8363.0	0.003892313637111024
Single-Family Attached	1990s	0.517987	0.482013	11286.0	0.003621162840926689
Single-Family Attached	2000s	0.625622	0.374378	7841.0	0.00414448879804132
Single-Family Attached	2010s	0.5630430000000001	0.436957	230.0	0.0006530743268755189
Single-Family Attached	<1940	0.8830309999999999	0.116969	3471.0	0.015486236766700887
Single-Family Detached	1940s	0.6389060000000001	0.361094	77941.0	0.03218005227325356
Single-Family Detached	1950s	0.649213	0.350787	226468.0	0.06629941620582974
Single-Family Detached	1960s	0.536529	0.463471	123081.0	0.054772533782723294
Single-Family Detached	1970s	0.416163	0.5838369999999999	66021.0	0.052274598455152504
Single-Family Detached	1980s	0.417504	0.582496	38935.0	0.029950654286381204
Single-Family Detached	1990s	0.485079	0.514921	36223.0	0.027864197614810987
Single-Family Detached	2000s	0.57428	0.42572	27531.0	0.03189109685314253
Single-Family Detached	2010s	0.53252	0.46748	1353.0	0.005025289637778962
Single-Family Detached	<1940	0.442379	0.557621	213387.0	0.1191638102269594
