Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area	Option=1	Option=2	Option=3	Option=4	Option=5	sample_count	sample_weight	resstock_probability
Mobile Home	0-499	0.46975	0.30703400000000003	0.200768	0.022449	0.0	109.0	265140.84375	0.00023567087737835063
Mobile Home	1000-1499	0.020451	0.29947	0.6373489999999999	0.037160000000000006	0.005569	897.0	2261309.75	0.003351236679418894
Mobile Home	1500-1999	0.006553	0.18001	0.700041	0.110061	0.0033350000000000003	437.0	1105297.5	0.0009000337377417487
Mobile Home	2000-2499	0.0	0.074167	0.448283	0.458304	0.019246	140.0	357507.09375	0.00023567087737835063
Mobile Home	2500-2999	0.0	0.105196	0.24700100000000005	0.58496	0.062842	30.0	79685.320312	0.00023567087737835063
Mobile Home	3000-3999	0.0	0.018915	0.728919	0.215609	0.036557	11.0	25408.121094	0.00023567087737835063
Mobile Home	4000+	0.0	0.140529	0.366176	0.493295	0.0	13.0	30927.921875	0.00023567087737835063
Mobile Home	500-749	0.14968	0.608701	0.220169	0.021449	0.0	230.0	594891.3125	0.00023567087737835063
Mobile Home	750-999	0.03635	0.571799	0.370055	0.018637	0.003159	492.0	1297139.875	0.0014980545005208532
Multi-Family with 2 - 4 Units	0-499	0.6252909999999999	0.280541	0.08447400000000001	0.003247	0.006448000000000001	200.0	396086.15625	0.010489618346874417
Multi-Family with 2 - 4 Units	1000-1499	0.07851799999999999	0.60012	0.298282	0.018317	0.004763	996.0	1925959.125	0.07326167903617627
Multi-Family with 2 - 4 Units	1500-1999	0.067499	0.448938	0.408357	0.05948	0.015727	221.0	475900.46875	0.023545514720900614
Multi-Family with 2 - 4 Units	2000-2499	0.042963	0.316565	0.46319	0.145309	0.031973	80.0	177513.09375	0.004619447837719928
Multi-Family with 2 - 4 Units	2500-2999	0.07932	0.077461	0.745185	0.076754	0.021279	26.0	47450.976562	0.0006980826209705418
Multi-Family with 2 - 4 Units	3000-3999	0.0	0.202623	0.4687810000000001	0.328596	0.0	17.0	34450.933594	0.0014382890284701441
Multi-Family with 2 - 4 Units	4000+	0.16547	0.506448	0.311792	0.0	0.016288999999999998	17.0	41438.964844	0.002210552861858443
Multi-Family with 2 - 4 Units	500-749	0.563607	0.378347	0.054861	0.0031850000000000003	0.0	668.0	1279628.75	0.020779015652519574
Multi-Family with 2 - 4 Units	750-999	0.218248	0.644663	0.125852	0.009925	0.001313	1036.0	2052625.625	0.055758238535492465
Multi-Family with 5+ Units	0-499	0.859476	0.121539	0.017509999999999998	0.000833	0.000642	948.0	1650724.125	0.03660400860862072
Multi-Family with 5+ Units	1000-1499	0.12389100000000003	0.695235	0.16453199999999998	0.014822	0.001521	2477.0	4389249.5	0.07748306626817997
Multi-Family with 5+ Units	1500-1999	0.119176	0.528188	0.314042	0.031448000000000004	0.007146	376.0	714911.9375	0.02071375339833027
Multi-Family with 5+ Units	2000-2499	0.008801999999999999	0.5388390000000001	0.402411	0.049949	0.0	78.0	148552.015625	0.011748498237388265
Multi-Family with 5+ Units	2500-2999	0.169725	0.224434	0.5230229999999999	0.08281799999999999	0.0	29.0	58282.61328099999	0.0017814042656620263
Multi-Family with 5+ Units	3000-3999	0.05739800000000001	0.243175	0.53766	0.161767	0.0	22.0	47754.296875	0.003072218552279315
Multi-Family with 5+ Units	4000+	0.296865	0.427765	0.216721	0.058649	0.0	28.0	55648.18359400001	0.0021168636784855118
Multi-Family with 5+ Units	500-749	0.7778229999999999	0.202393	0.016592	0.003192	0.0	2748.0	4479045.0	0.0716918894494118
Multi-Family with 5+ Units	750-999	0.439699	0.521975	0.032861	0.005263	0.000202	3378.0	5751378.0	0.10088972348845489
Single-Family Attached	0-499	0.382027	0.414468	0.144727	0.040199	0.018579	71.0	121367.53906199998	0.005345513580164515
Single-Family Attached	1000-1499	0.027105	0.515658	0.415775	0.035	0.006461	1531.0	2872227.5	0.02812504445755662
Single-Family Attached	1500-1999	0.010323	0.289047	0.6166470000000001	0.066811	0.017172	957.0	1758138.0	0.010962251755946218
Single-Family Attached	2000-2499	0.00415	0.17693399999999998	0.579343	0.202735	0.036839	452.0	781284.6875	0.0033473217142902245
Single-Family Attached	2500-2999	0.02821	0.092998	0.529623	0.28918	0.059989	174.0	304348.65625	0.0014376962365661228
Single-Family Attached	3000-3999	0.0	0.13028	0.417583	0.341368	0.110769	120.0	247949.234375	0.0006360978209782855
Single-Family Attached	4000+	0.0	0.11951	0.302132	0.224934	0.353424	65.0	121200.078125	0.00025734864504012983
Single-Family Attached	500-749	0.470765	0.42714	0.093575	0.00852	0.0	284.0	476685.21875	0.0014811980829844752
Single-Family Attached	750-999	0.165822	0.663254	0.153702	0.017222	0.0	576.0	1027483.75	0.0029145684357594942
