Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=R-13	Option=R-19	Option=R-30	Option=R-38	Option=None
Mobile Home	<1940	Crawl	0	0	0	0	0	1
Mobile Home	1940s	Crawl	0	0	0	0	0	1
Mobile Home	1950s	Crawl	0	0	0	0	0	1
Mobile Home	1960s	Crawl	0	0	0	0	0	1
Mobile Home	1970s	Crawl	0	0	0	0	0	1
Mobile Home	1980s	Crawl	0	0	0	0	0	1
Mobile Home	1990s	Crawl	0	0	0	0	0	1
Mobile Home	2000s	Crawl	0	0	0	0	0	1
Mobile Home	2010s	Crawl	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	<1940	Crawl	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1940s	Crawl	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1950s	Crawl	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1960s	Crawl	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1970s	Crawl	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1980s	Crawl	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1990s	Crawl	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	2000s	Crawl	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	2010s	Crawl	0	0	0	0	0	1
Multi-Family with 5+ Units	<1940	Crawl	0	0	0	0	0	1
Multi-Family with 5+ Units	1940s	Crawl	0	0	0	0	0	1
Multi-Family with 5+ Units	1950s	Crawl	0	0	0	0	0	1
Multi-Family with 5+ Units	1960s	Crawl	0	0	0	0	0	1
Multi-Family with 5+ Units	1970s	Crawl	0	0	0	0	0	1
Multi-Family with 5+ Units	1980s	Crawl	0	0	0	0	0	1
Multi-Family with 5+ Units	1990s	Crawl	0	0	0	0	0	1
Multi-Family with 5+ Units	2000s	Crawl	0	0	0	0	0	1
Multi-Family with 5+ Units	2010s	Crawl	0	0	0	0	0	1
Single-Family Attached	<1940	Crawl	0	0	0	0	0	1
Single-Family Attached	1940s	Crawl	0	0	0	0	0	1
Single-Family Attached	1950s	Crawl	0	0	0	0	0	1
Single-Family Attached	1960s	Crawl	0	0	0	0	0	1
Single-Family Attached	1970s	Crawl	0	0	0	0	0	1
Single-Family Attached	1980s	Crawl	0	0	0	0	0	1
Single-Family Attached	1990s	Crawl	0	0	0	0	0	1
Single-Family Attached	2000s	Crawl	0	0	0	0	0	1
Single-Family Attached	2010s	Crawl	0	0	0	0	0	1
Single-Family Detached	<1940	Crawl	0	0	0	0	0	1
Single-Family Detached	1940s	Crawl	0	0	0	0	0	1
Single-Family Detached	1950s	Crawl	0	0	0	0	0	1
Single-Family Detached	1960s	Crawl	0	0	0	0	0	1
Single-Family Detached	1970s	Crawl	0	0	0	0	0	1
