Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Option=None	Option=Yes	sample_count	sample_weight	resstock_probability
Mobile Home	Electricity	0.000000	1.000000	3.000000	4243.833984	0.001265
Mobile Home	Fuel Oil	0.500000	0.500000	0.000000	0.000000	0.000489
Mobile Home	Natural Gas	0.000000	1.000000	15.000000	25198.076170	0.003642
Mobile Home	None	0.500000	0.500000	0.000000	0.000000	0.000522
Mobile Home	Other Fuel	0.500000	0.500000	0.000000	0.000000	0.000596
Mobile Home	Propane	0.000000	1.000000	1.000000	1457.602173	0.000650
Multi-Family with 2 - 4 Units	Electricity	0.732184	0.267816	29.000000	51927.292970	0.020467
Multi-Family with 2 - 4 Units	Fuel Oil	0.500000	0.500000	0.000000	0.000000	0.000183
Multi-Family with 2 - 4 Units	Natural Gas	0.551818	0.448182	201.000000	390017.312500	0.166941
Multi-Family with 2 - 4 Units	None	0.500000	0.500000	0.000000	0.000000	0.001575
Multi-Family with 2 - 4 Units	Other Fuel	0.500000	0.500000	0.000000	0.000000	0.000893
Multi-Family with 2 - 4 Units	Propane	0.000000	1.000000	1.000000	1720.463257	0.002742
Multi-Family with 5+ Units	Electricity	0.739361	0.260639	183.000000	312545.750000	0.087430
Multi-Family with 5+ Units	Fuel Oil	0.544113	0.455887	4.000000	7633.038574	0.000594
Multi-Family with 5+ Units	Natural Gas	0.634803	0.365197	287.000000	522073.281300	0.221497
Multi-Family with 5+ Units	None	0.500000	0.500000	0.000000	0.000000	0.007083
Multi-Family with 5+ Units	Other Fuel	1.000000	0.000000	3.000000	4401.241699	0.005146
Multi-Family with 5+ Units	Propane	0.745900	0.254100	4.000000	6022.188965	0.004352
Single-Family Attached	Electricity	0.079542	0.920458	10.000000	14236.038090	0.004714
Single-Family Attached	Fuel Oil	0.500000	0.500000	0.000000	0.000000	0.000098
Single-Family Attached	Natural Gas	0.040728	0.959272	149.000000	248759.468800	0.048500
Single-Family Attached	None	0.500000	0.500000	0.000000	0.000000	0.000463
Single-Family Attached	Other Fuel	0.500000	0.500000	0.000000	0.000000	0.000193
Single-Family Attached	Propane	0.000000	1.000000	3.000000	4224.157715	0.000540
Single-Family Detached	Electricity	0.059541	0.940459	57.000000	95434.726560	0.018211
Single-Family Detached	Fuel Oil	0.000000	1.000000	1.000000	1530.240967	0.000404
Single-Family Detached	Natural Gas	0.018024	0.981976	1032.000000	1794803.250000	0.393075
Single-Family Detached	None	0.500000	0.500000	0.000000	0.000000	0.001427
Single-Family Detached	Other Fuel	0.000000	1.000000	3.000000	3959.251221	0.001734
Single-Family Detached	Propane	0.000000	1.000000	23.000000	36349.058590	0.004570
