Dependency=PUMA	Dependency=Geometry Building Type ACS	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Option=<1940	sample_count	sample_weight	resstock_probability
IL, 03401	10 to 19 Unit	0.0	0.019847	0.135769	0.377537	0.279206	0.130356	0.050068	0.0	0.007217	79.0	2217.0	0.001134239399759466
IL, 03401	2 Unit	0.202667	0.12	0.194667	0.0	0.085333	0.12	0.0	0.0	0.277333	11.0	375.0	0.000191841219158589
IL, 03401	20 to 49 Unit	0.014486	0.023477	0.06343700000000001	0.321179	0.08291699999999999	0.117383	0.377123	0.0	0.0	86.0	2002.0	0.0010242261887727872
IL, 03401	3 or 4 Unit	0.0	0.011984	0.121172	0.271194	0.454949	0.072348	0.02885	0.0	0.039503	80.0	2253.0	0.001152644558354289
IL, 03401	5 to 9 Unit	0.02104	0.015128	0.092158	0.455747	0.242914	0.13023800000000002	0.024344	0.0	0.018432	181.0	5751.0	0.0029422452127518452
IL, 03401	50 or more Unit	0.0	0.005848	0.101365	0.5192979999999999	0.147368	0.069006	0.14425	0.0	0.012865	114.0	2565.0	0.0013122706067280811
IL, 03401	Mobile Home	0.0	0.0	0.0	0.317647	0.15294100000000002	0.0	0.188235	0.0	0.34117600000000003	4.0	85.0	4.349416650579e-05
IL, 03401	Single-Family Attached	0.003063	0.019717	0.068721	0.19085	0.322933	0.26876	0.11026	0.005743	0.009954	226.0	5224.0	0.0026726305263668013
IL, 03401	Single-Family Detached	0.020356	0.207083	0.184658	0.230197	0.163395	0.077035	0.055481	0.007838	0.053957000000000005	1206.0	27559.0	0.014099358975626928
IL, 03407	10 to 19 Unit	0.117001	0.163801	0.125597	0.155683	0.038204	0.075931	0.0468	0.003820000000000001	0.273161	78.0	2094.0	0.0010801835660000005
IL, 03407	2 Unit	0.094945	0.129011	0.192967	0.079121	0.003077	0.04	0.055604	0.0	0.405275	181.0	4550.0	0.002347098644000001
IL, 03407	20 to 49 Unit	0.018425	0.117052	0.265535	0.379697	0.057080999999999986	0.03974	0.058887	0.0	0.063584	98.0	2768.0	0.0014278679580000007
IL, 03407	3 or 4 Unit	0.091663	0.149455	0.218143	0.091189	0.072477	0.075557	0.018238	0.006157999999999999	0.27712	142.0	4222.0	0.002177901836000001
IL, 03407	5 to 9 Unit	0.13253	0.167494	0.238838	0.153083	0.065202	0.054099	0.036853	0.0	0.151902	133.0	4233.0	0.002183594072000001
IL, 03407	50 or more Unit	0.039292	0.030442	0.100177	0.304071	0.160354	0.043186	0.287434	0.007434	0.027611	114.0	2825.0	0.0014572778440000004
IL, 03407	Mobile Home	0.0	0.0	0.107046	0.283198	0.039295	0.299458	0.174797	0.017615000000000002	0.078591	29.0	738.0	0.00038069281800000017
IL, 03407	Single-Family Attached	0.114183	0.28617600000000004	0.05673200000000001	0.04991	0.183842	0.109156	0.140036	0.0	0.059964	117.0	2785.0	0.0014366353100000004
IL, 03407	Single-Family Detached	0.121598	0.411703	0.08440700000000001	0.041119	0.018442	0.005969	0.009668	0.003061	0.304033	1853.0	39203.0	0.02022274795200001
IL, 03408	10 to 19 Unit	0.084592	0.197199	0.174677	0.104367	0.040374	0.021148	0.007965	0.0	0.369679	152.0	3641.0	0.0018540225519755931
IL, 03408	2 Unit	0.06291000000000001	0.059919000000000014	0.085874	0.039560000000000005	0.012736	0.005596	0.006658	0.0	0.726746	409.0	10364.0	0.005277469028525691
IL, 03408	20 to 49 Unit	0.102469	0.14043	0.13751	0.08654099999999999	0.01991	0.035572	0.064773	0.003982	0.408813	173.0	3767.0	0.0019182023177957632
IL, 03408	3 or 4 Unit	0.06590599999999999	0.098519	0.088327	0.025955	0.039272	0.014676	0.00761	0.0	0.659736	253.0	7359.0	0.0037472783367179146
IL, 03408	5 to 9 Unit	0.08190900000000001	0.097817	0.07954	0.106109	0.027247000000000004	0.032831	0.010154	0.0	0.564393	209.0	5909.0	0.0030089114190855705
IL, 03408	50 or more Unit	0.035365	0.026712	0.03085	0.177953	0.12603499999999998	0.066591	0.208427	0.013919999999999998	0.314146	99.0	2658.0	0.0013534834545151915
IL, 03408	Mobile Home	0.0	0.0	0.0	0.319328	0.0	0.226891	0.0	0.0	0.453782	7.0	238.0	0.00012120041279946595
IL, 03408	Single-Family Attached	0.13308599999999998	0.08401499999999999	0.048327	0.063941	0.07360599999999999	0.095911	0.205948	0.0	0.295167	60.0	1345.0	0.0006848785231207917
IL, 03408	Single-Family Detached	0.085316	0.13228800000000002	0.052825	0.022548	0.008967000000000001	0.013844	0.013769	0.002326	0.668117	1280.0	26654.0	0.013572490879495542
IL, 03409	10 to 19 Unit	0.058244	0.080197	0.107527	0.40233	0.166667	0.118728	0.025986	0.008513	0.031810000000000005	94.0	2232.0	0.001143856277142579
IL, 03409	2 Unit	0.10565	0.161582	0.119209	0.110734	0.123729	0.042938	0.008475	0.0	0.32768400000000003	87.0	1770.0	0.000907073911925181
IL, 03409	20 to 49 Unit	0.0	0.02267	0.148615	0.38539	0.151637	0.07254400000000001	0.152645	0.009068	0.057431	73.0	1985.0	0.001017260297738685
IL, 03409	3 or 4 Unit	0.020031	0.112363	0.195618	0.253208	0.082316	0.106729	0.0	0.0	0.229734	102.0	3195.0	0.001637354628643734
IL, 03409	5 to 9 Unit	0.010799	0.123419	0.263499	0.231719	0.131441	0.107683	0.047208	0.0	0.084233	140.0	3241.0	0.0016609467820515567
IL, 03409	50 or more Unit	0.02075	0.017558	0.175579	0.178771	0.10854	0.131684	0.324022	0.043097	0.0	47.0	1253.0	0.00064212622787313
IL, 03409	Mobile Home	0.0	0.0	0.0	0.170504	0.13939	0.326073	0.360299	0.003734	0.0	101.0	1607.0	0.000823546390452786
IL, 03409	Single-Family Attached	0.036569	0.038619	0.038619	0.100478	0.114833	0.318182	0.30041	0.015721000000000002	0.036569	124.0	2926.0	0.0014995140424844578
IL, 03409	Single-Family Detached	0.087215	0.325467	0.171251	0.092728	0.051571000000000006	0.056034	0.055654	0.007205	0.152875	1821.0	34283.0	0.017569267639714795
