Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC	sample_count	sample_weight	resstock_probability
Mobile Home	Ducted Heat Pump	1940s	0.0	1.0	0.0	0.0	0.0	0.0	2.1539621812972804e-05
Mobile Home	Ducted Heating	1940s	0.25	0.25	0.25	0.25	0.0	0.0	0.00036932939725650666
Mobile Home	Non-Ducted Heat Pump	1940s	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	Non-Ducted Heating	1940s	0.0	0.0	1.0	0.0	1.0	6913.060059	0.00015142441445599735
Mobile Home	None	1940s	0.25	0.25	0.25	0.25	0.0	0.0	7.312250554703555e-06
Multi-Family with 2 - 4 Units	Ducted Heat Pump	1940s	0.0	1.0	0.0	0.0	1.0	16232.360352000002	0.0005797342231774079
Multi-Family with 2 - 4 Units	Ducted Heating	1940s	0.329874	0.0	0.346528	0.323598	24.0	244208.8125	0.009940420174235652
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1940s	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Multi-Family with 2 - 4 Units	Non-Ducted Heating	1940s	0.0	0.0	0.633112	0.366888	36.0	328360.46875	0.004075555088523889
Multi-Family with 2 - 4 Units	None	1940s	1.0	0.0	0.0	0.0	1.0	6118.25	0.00019680762883480567
Multi-Family with 5+ Units	Ducted Heat Pump	1940s	0.0	1.0	0.0	0.0	3.0	26531.710938	0.0009805602781805004
Multi-Family with 5+ Units	Ducted Heating	1940s	0.684558	0.0	0.0	0.315442	15.0	113959.25	0.01681318918496343
Multi-Family with 5+ Units	Non-Ducted Heat Pump	1940s	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Multi-Family with 5+ Units	Non-Ducted Heating	1940s	0.020056	0.0	0.13936600000000002	0.840578	51.0	487657.5	0.0068933785027212365
Multi-Family with 5+ Units	None	1940s	0.111795	0.157823	0.0	0.730382	6.0	38192.460938	0.0003328796810038352
Single-Family Attached	Ducted Heat Pump	1940s	0.0	1.0	0.0	0.0	1.0	7492.52002	0.00016389804378213771
Single-Family Attached	Ducted Heating	1940s	0.308578	0.0	0.411404	0.280018	14.0	108918.46093800002	0.0028102798761824245
Single-Family Attached	Non-Ducted Heat Pump	1940s	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Single-Family Attached	Non-Ducted Heating	1940s	0.12053	0.0	0.294495	0.584975	12.0	102483.242188	0.0011522098914125887
Single-Family Attached	None	1940s	0.0	0.0	0.0	1.0	1.0	5721.799805	5.563995375438569e-05
Single-Family Detached	Ducted Heat Pump	1940s	0.0	1.0	0.0	0.0	13.0	167016.234375	0.0012611660069553015
Single-Family Detached	Ducted Heating	1940s	0.618398	0.038412	0.172171	0.171018	232.0	2280455.75	0.021624598854779572
Single-Family Detached	Non-Ducted Heat Pump	1940s	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Single-Family Detached	Non-Ducted Heating	1940s	0.157115	0.025171000000000002	0.24992199999999998	0.567793	120.0	1130673.375	0.008866048150390334
Single-Family Detached	None	1940s	0.165632	0.0	0.669618	0.16475	12.0	85481.328125	0.00042813944989405535
Mobile Home	Ducted Heat Pump	1950s	0.0	1.0	0.0	0.0	0.0	0.0	6.887584869129018e-06
Mobile Home	Ducted Heating	1950s	0.46820600000000007	0.0	0.310462	0.22133200000000003	6.0	76234.367188	0.0007654015613179169
Mobile Home	Non-Ducted Heat Pump	1950s	0.0	1.0	0.0	0.0	0.0	0.0	2.449876015046695e-06
Mobile Home	Non-Ducted Heating	1950s	0.0	0.0	0.107199	0.8928010000000001	5.0	62619.26953099999	0.00035514405312304904
Mobile Home	None	1950s	0.0	0.0	1.0	0.0	1.0	7949.290039	2.449876015046695e-06
Multi-Family with 2 - 4 Units	Ducted Heat Pump	1950s	0.0	1.0	0.0	0.0	0.0	0.0	0.0001853778445296616
Multi-Family with 2 - 4 Units	Ducted Heating	1950s	0.349462	0.0	0.42913999999999997	0.221398	45.0	496140.34375	0.02060061608426987
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1950s	0.0	1.0	0.0	0.0	0.0	0.0	6.593787861255114e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heating	1950s	0.022625	0.0	0.37004000000000004	0.6073350000000001	61.0	638168.5	0.00955862473079099
Multi-Family with 2 - 4 Units	None	1950s	0.0	0.0	0.5305850000000001	0.46941499999999997	6.0	39100.359375	6.593787861255114e-05
