State,Average FO Price [$/gal],Source
AK,3.236461538,US
AL,3.236461538,US
AR,3.236461538,US
AZ,3.236461538,US
CA,3.236461538,US
CO,3.236461538,US
CT,3.314115385,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
DC,4.042192308,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
DE,3.127192308,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
FL,2.882423077,Lower Atlantic PADD
GA,2.882423077,Lower Atlantic PADD
HI,3.236461538,US
IA,2.452692308,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
ID,3.236461538,US
IL,2.660384615,Midwest PADD
IN,2.753846154,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
KS,2.660384615,Midwest PADD
KY,2.665423077,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
LA,3.236461538,US
MA,3.269,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
MD,3.233076923,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
ME,3.013192308,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
MI,2.683692308,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
MN,2.662307692,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
MO,2.660384615,Midwest PADD
MS,3.236461538,US
MT,3.236461538,US
NC,2.887115385,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
ND,2.660384615,Midwest PADD
NE,2.528192308,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
NH,3.114807692,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
NJ,3.300769231,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
NM,3.236461538,US
NV,3.236461538,US
NY,3.538846154,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
OH,2.689230769,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
OK,3.236461538,US
OR,3.236461538,US
PA,2.872269231,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
RI,3.356269231,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
SC,2.882423077,Lower Atlantic PADD
SD,2.660384615,Midwest PADD
TN,3.236461538,US
TX,3.236461538,US
UT,3.236461538,US
VA,2.879961538,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
VT,2.858269231,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
WA,3.236461538,US
WI,2.692230769,https://www.eia.gov/dnav/pet/pet_pri_wfr_a_EPD2F_PRS_dpgal_w.htm
WV,3.285538462,Central Atlantic PADD
WY,3.236461538,US
