name,_id,run_start_time,run_end_time,status,status_message,build_existing_models.building_id,build_existing_models_energyplus.always_run,building_characteristics_report.Airflow,building_characteristics_report.Clothes Dryer,building_characteristics_report.Clothes Washer,building_characteristics_report.Cooking Range,building_characteristics_report.Cooling Setpoint,building_characteristics_report.Dishwasher,building_characteristics_report.Door Area,building_characteristics_report.Doors,building_characteristics_report.Ducts,building_characteristics_report.Eaves,building_characteristics_report.Exterior Finish,building_characteristics_report.Floor Covering,building_characteristics_report.Floor Sheathing,building_characteristics_report.Geometry,building_characteristics_report.Geometry Foundation Type,building_characteristics_report.Geometry Garage,building_characteristics_report.Geometry House Size,building_characteristics_report.Geometry Stories,building_characteristics_report.HVAC System Combined,building_characteristics_report.HVAC System Cooling,building_characteristics_report.HVAC System Heating,building_characteristics_report.HVAC System Is Combined,building_characteristics_report.Heating Fuel,building_characteristics_report.Heating Setpoint,building_characteristics_report.Hot Water Distribution,building_characteristics_report.Hot Water Fixtures,building_characteristics_report.Infiltration,building_characteristics_report.Insulation Crawlspace,building_characteristics_report.Insulation Finished Basement,building_characteristics_report.Insulation Interzonal Floor,building_characteristics_report.Insulation Interzonal Wall,building_characteristics_report.Insulation Slab,building_characteristics_report.Insulation Unfinished Attic,building_characteristics_report.Insulation Unfinished Basement,building_characteristics_report.Insulation Wall,building_characteristics_report.Lighting,building_characteristics_report.Location EPW,building_characteristics_report.Location Region,building_characteristics_report.Mechanical Ventilation,building_characteristics_report.Misc Extra Refrigerator,building_characteristics_report.Misc Freezer,building_characteristics_report.Misc Gas Fireplace,building_characteristics_report.Misc Gas Grill,building_characteristics_report.Misc Gas Lighting,building_characteristics_report.Misc Hot Tub Spa,building_characteristics_report.Misc Pool,building_characteristics_report.Misc Well Pump,building_characteristics_report.Natural Ventilation,building_characteristics_report.Neighbors,building_characteristics_report.Occupants,building_characteristics_report.Orientation,building_characteristics_report.Overhangs,building_characteristics_report.Plug Loads,building_characteristics_report.Refrigerator,building_characteristics_report.Roof Material,building_characteristics_report.Roof Sheathing,building_characteristics_report.Thermal Mass Ceiling,building_characteristics_report.Thermal Mass Exterior Wall,building_characteristics_report.Thermal Mass Floor,building_characteristics_report.Thermal Mass Furniture,building_characteristics_report.Thermal Mass Partition Wall,building_characteristics_report.Uninsulated Surfaces,building_characteristics_report.Usage Level,building_characteristics_report.Vintage,building_characteristics_report.Wall Sheathing,building_characteristics_report.Water Heater,building_characteristics_report.Window Areas,building_characteristics_report.Windows,simulation_output_report.Electricity Cooling kWh,simulation_output_report.Electricity Exterior Lighting kWh,simulation_output_report.Electricity Fans kWh,simulation_output_report.Electricity Heating kWh,simulation_output_report.Electricity Interior Equipment kWh,simulation_output_report.Electricity Interior Lighting kWh,simulation_output_report.Electricity Pumps kWh,simulation_output_report.Electricity Water Systems kWh,simulation_output_report.Hours Cooling Setpoint Not Met,simulation_output_report.Hours Heating Setpoint Not Met,simulation_output_report.Natural Gas Heating therm,simulation_output_report.Natural Gas Interior Equipment therm,simulation_output_report.Natural Gas Water Systems therm,simulation_output_report.Other Fuel Heating MBtu,simulation_output_report.Other Fuel Interior Equipment MBtu,simulation_output_report.Other Fuel Water Systems MBtu,simulation_output_report.Total Site Electricity kWh,simulation_output_report.Total Site Energy MBtu,simulation_output_report.Total Site Natural Gas therm,simulation_output_report.Total Site Other Fuel MBtu
diag Autogenerated 542,003c411b-83eb-4a37-b01d-9b2d9c7b62ab,2016-08-25T21:15:09Z,2016-08-25T21:18:17Z,completed,completed normal,542.0,1.0,"30% Leakage, R-4 Ducts; 10 ACH50; Year-Round, 3 days/wk NatVent; No MechVent","Electric, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",FIXME Location Average,"318 Rated kWh, 120% Usage",20 ft^2,Fiberglass,"30% Leakage, R-4",2 ft,"Vinyl, Light",80% Carpet,3/4 in. OSB,1500-2499 sqft; 2 Stories; Slab Foundation; No Garage,Slab,No,1500-2499,2,None,"Room AC, EER 10.7","Gas Furnace, 60% AFUE",No,Natural Gas,FIXME Location Average,"Uninsulated, TrunkBranch, Copper",200%,10 ACH50,"Ceiling R-19, Vented",Wall R-10,R-19,R-11,Uninsulated,"Ceiling R-19, Vented",Ceiling R-19,R-11,60% CFL,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,CR11,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"Year-Round, 3 days/wk",Left/Right at 15ft,Auto,West,None,200%,EF 10.2,"Asphalt Shingles, Medium",3/4 in. OSB,1/2 in. Drywall,1/2 in. Drywall,Wood Surface,Standard,1/2 in. Drywall,Uninsulated,High,1980s,1/2 in. OSB,Gas Standard,F15 B15 L15 R15,"Clear, Double, Non-metal, Air",50.0,247.22222222222223,791.6666666666666,0.0,8105.555555555557,1211.111111111111,0.0,0.0,0.0,878.33,645.463458933369,7.108628402349879,321.8786940584025,0.0,0.0,0.0,10405.555555555557,132.95978563755213,974.4507813941215,0.0
diag Autogenerated 534,00422916-a619-4b58-b177-300824d9b308,2016-08-25T21:14:10Z,2016-08-25T21:17:38Z,completed,completed normal,534.0,1.0,"In Finished Space Ducts; 10 ACH50; Year-Round, 3 days/wk NatVent; No MechVent","Electric, 100% Usage","Standard, 100% Usage","FIXME Propane, 100% Usage",FIXME Location Average,"318 Rated kWh, 100% Usage",20 ft^2,Fiberglass,In Finished Space,2 ft,"Vinyl, Light",80% Carpet,3/4 in. OSB,1500-2499 sqft; 2 Stories; Heated Basement Foundation; Garage,Heated Basement,Yes,1500-2499,2,None,None,"Propane Boiler, 80% AFUE",No,Propane/LPG,FIXME Location Average,"Uninsulated, TrunkBranch, Copper",100%,10 ACH50,"Ceiling R-19, Vented",Wall R-5,R-13,R-11,"2ft R5 Perimeter, R5 Gap","Ceiling R-30, Vented",Ceiling R-13,R-11,100% Incandescent,USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3.epw,CR07,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"Year-Round, 3 days/wk",Left/Right at 15ft,Auto,South,None,100%,EF 10.5,"Asphalt Shingles, Medium",3/4 in. OSB,1/2 in. Drywall,1/2 in. Drywall,Wood Surface,Standard,1/2 in. Drywall,Uninsulated,Medium,1980s,1/2 in. OSB,Propane Standard,F15 B15 L15 R15,"Clear, Double, Non-metal, Air",0.0,350.0,0.0,125.0,4980.555555555556,1772.2222222222222,322.22222222222223,0.0,0.0,19.17,0.0,35.63792372378073,0.0,82.82973814418078,0.0,18.22652322362509,7550.0,130.38172307029993,35.63792372378073,101.05626136780587
diag Autogenerated 660,0109d160-f891-43c9-bf3e-267b2cc8f793,2016-08-25T21:19:22Z,2016-08-25T21:22:48Z,completed,completed normal,660.0,1.0,"In Finished Space Ducts; 15 ACH50; Year-Round, 3 days/wk NatVent; No MechVent","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",FIXME Location Average,"290 Rated kWh, 100% Usage",20 ft^2,Fiberglass,In Finished Space,2 ft,"Vinyl, Light",80% Carpet,3/4 in. OSB,0-1499 sqft; 1 Story; Heated Basement Foundation; No Garage,Heated Basement,No,0-1499,1,None,None,"Gas Furnace, 80% AFUE",No,Natural Gas,FIXME Location Average,"Uninsulated, TrunkBranch, Copper",100%,15 ACH50,"Uninsulated, Vented",Uninsulated,Uninsulated,Uninsulated,Uninsulated,"Ceiling R-13, Vented",Uninsulated,Uninsulated,100% Incandescent,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,CR06,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"Year-Round, 3 days/wk",Left/Right at 15ft,Auto,South,None,100%,EF 15.9,"Asphalt Shingles, Medium",3/4 in. OSB,1/2 in. Drywall,1/2 in. Drywall,Wood Surface,Standard,1/2 in. Drywall,Uninsulated,Medium,1970s,1/2 in. OSB,Gas Standard,F15 B15 L15 R15,"Clear, Single, Metal",0.0,175.0,216.66666666666666,0.0,4811.111111111111,1055.5555555555554,0.0,0.0,0.0,0.0,218.18750109612563,6.160811282036562,170.3227365203031,0.0,0.0,0.0,6258.333333333333,60.82142461050557,394.6710488984653,0.0
diag Autogenerated 389,0196c752-206f-498f-a00c-2a8f9fc7fea0,2016-08-25T21:08:45Z,2016-08-25T21:11:52Z,completed,completed normal,389.0,1.0,"20% Leakage, R-4 Ducts; 15 ACH50; Year-Round, 3 days/wk NatVent; No MechVent","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",FIXME Location Average,"290 Rated kWh, 120% Usage",20 ft^2,Fiberglass,"20% Leakage, R-4",2 ft,"Vinyl, Light",80% Carpet,3/4 in. OSB,1500-2499 sqft; 1 Story; Slab Foundation; No Garage,Slab,No,1500-2499,1,None,"AC, SEER 13",Electric Furnace,No,Electricity,FIXME Location Average,"Uninsulated, TrunkBranch, Copper",200%,15 ACH50,"Uninsulated, Vented",Uninsulated,Uninsulated,R-7,Uninsulated,"Ceiling R-30, Vented",Uninsulated,R-7,100% Incandescent,USA_FL_Orlando.Intl.AP.722050_TMY3.epw,CR09,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"Year-Round, 3 days/wk",Left/Right at 15ft,Auto,West,None,200%,EF 15.9,"Asphalt Shingles, Medium",3/4 in. OSB,1/2 in. Drywall,1/2 in. Drywall,Wood Surface,Standard,1/2 in. Drywall,Uninsulated,High,1970s,1/2 in. OSB,Electric Standard,F15 B15 L15 R15,"Clear, Double, Metal, Air",4144.444444444444,350.0,941.6666666666666,786.1111111111111,7650.0,1705.5555555555554,0.0,4258.333333333333,25.33,142.33,0.0,7.108628402349879,0.0,0.0,0.0,0.0,19838.888888888887,68.4039615730121,7.108628402349879,0.0
diag Autogenerated 499,01c3a1c5-4037-47e0-8e37-93aea05e1a92,2016-08-25T21:12:53Z,2016-08-25T21:16:25Z,completed,completed normal,499.0,1.0,"20% Leakage, Uninsulated Ducts; 15 ACH50; Year-Round, 3 days/wk NatVent; No MechVent","Electric, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",FIXME Location Average,"318 Rated kWh, 80% Usage",20 ft^2,Fiberglass,"20% Leakage, Uninsulated",2 ft,"Vinyl, Light",80% Carpet,3/4 in. OSB,0-1499 sqft; 1 Story; Unheated Basement Foundation; No Garage,Unheated Basement,No,0-1499,1,None,None,"Gas Boiler, 80% AFUE",No,Natural Gas,FIXME Location Average,"Uninsulated, TrunkBranch, Copper",50%,15 ACH50,"Uninsulated, Vented",Uninsulated,Uninsulated,Uninsulated,Uninsulated,"Ceiling R-7, Vented",Uninsulated,Uninsulated,100% Incandescent,USA_MI_Muskegon.County.AP.726360_TMY3.epw,CR04,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"Year-Round, 3 days/wk",Left/Right at 15ft,Auto,North,None,50%,EF 10.5,"Asphalt Shingles, Medium",3/4 in. OSB,1/2 in. Drywall,1/2 in. Drywall,Wood Surface,Standard,1/2 in. Drywall,Uninsulated,Low,<1950,1/2 in. OSB,Gas Standard,F15 B15 L15 R15,"Clear, Single, Non-metal",0.0,175.0,0.0,155.55555555555557,3794.444444444445,1055.5555555555554,313.88888888888886,0.0,0.0,0.0,872.8447860965338,6.160811282036562,138.66564470183832,0.0,0.0,0.0,5494.444444444444,120.51494684783827,1017.5764603683774,0.0
diag Autogenerated 612,01e73e94-2f5f-4595-8c51-ff9590be3402,2016-08-25T21:17:31Z,2016-08-25T21:20:53Z,completed,completed normal,612.0,1.0,"30% Leakage, R-8 Ducts; 7 ACH50; Year-Round, 3 days/wk NatVent; No MechVent","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",FIXME Location Average,"318 Rated kWh, 100% Usage",20 ft^2,Fiberglass,"30% Leakage, R-8",2 ft,"Vinyl, Light",80% Carpet,3/4 in. OSB,2500-3499 sqft; 2 Stories; Slab Foundation; No Garage,Slab,No,2500-3499,2,None,"AC, SEER 13",Electric Furnace,No,Electricity,FIXME Location Average,"Uninsulated, HomeRun, PEX",100%,7 ACH50,"Ceiling R-19, Vented",Wall R-10,R-13,R-11,"2ft R5 Perimeter, R5 Gap","Ceiling R-30, Vented",Ceiling R-19,R-11,100% Incandescent,USA_FL_Miami.Intl.AP.722020_TMY3.epw,CR09,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"Year-Round, 3 days/wk",Left/Right at 15ft,Auto,East,None,100%,EF 10.5,"Asphalt Shingles, Medium",3/4 in. OSB,1/2 in. Drywall,1/2 in. Drywall,Wood Surface,Standard,1/2 in. Drywall,Uninsulated,Medium,2000s,1/2 in. OSB,Electric Standard,F15 B15 L15 R15,"Low-E, Double, Non-metal, Air, L-Gain",5644.444444444444,522.2222222222223,1166.6666666666667,180.55555555555557,6188.888888888889,2358.3333333333335,0.0,2136.111111111111,14.5,67.5,0.0,8.625135794851186,0.0,0.0,0.0,0.0,18197.222222222223,62.944534960007395,8.625135794851186,0.0
diag Autogenerated 751,0258348b-d367-4192-8599-4069a71a7ae1,2016-08-25T21:22:28Z,2016-08-25T21:25:45Z,completed,completed normal,751.0,1.0,"20% Leakage, R-4 Ducts; 20 ACH50; Year-Round, 3 days/wk NatVent; No MechVent","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",FIXME Location Average,"290 Rated kWh, 100% Usage",20 ft^2,Fiberglass,"20% Leakage, R-4",2 ft,"Vinyl, Light",80% Carpet,3/4 in. OSB,1500-2499 sqft; 2 Stories; Slab Foundation; Garage,Slab,Yes,1500-2499,2,None,"AC, SEER 15","Gas Furnace, 80% AFUE",No,Natural Gas,FIXME Location Average,"Uninsulated, TrunkBranch, Copper",100%,20 ACH50,"Uninsulated, Vented",Uninsulated,Uninsulated,Uninsulated,Uninsulated,"Ceiling R-19, Vented",Uninsulated,Uninsulated,100% Incandescent,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,CR09,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"Year-Round, 3 days/wk",Left/Right at 15ft,Auto,East,None,100%,EF 15.9,"Asphalt Shingles, Medium",3/4 in. OSB,1/2 in. Drywall,1/2 in. Drywall,Wood Surface,Standard,1/2 in. Drywall,Uninsulated,Medium,<1950,1/2 in. OSB,Gas Standard,F15 B15 L15 R15,"Clear, Double, Non-metal, Air",3797.222222222222,350.0,2066.666666666667,0.0,5119.444444444444,1772.2222222222222,0.0,0.0,0.17,43.0,1169.6063264666334,7.108628402349879,146.3429633763762,0.0,0.0,0.0,13105.555555555557,177.02380356091825,1323.0579182453596,0.0
diag Autogenerated 717,02608a6e-8d14-4986-afa3-6ad5be83edc8,2016-08-25T21:21:13Z,2016-08-25T21:25:17Z,completed,completed normal,717.0,1.0,"20% Leakage, Uninsulated Ducts; 15 ACH50; Year-Round, 3 days/wk NatVent; No MechVent","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",FIXME Location Average,"290 Rated kWh, 100% Usage",20 ft^2,Fiberglass,"20% Leakage, Uninsulated",2 ft,"Vinyl, Light",80% Carpet,3/4 in. OSB,1500-2499 sqft; 1 Story; Crawl Foundation; Garage,Crawl,Yes,1500-2499,1,"ASHP, SEER 15, 8.5 HSPF",None,None,Yes,Electricity,FIXME Location Average,"Uninsulated, TrunkBranch, Copper",100%,15 ACH50,"Uninsulated, Vented",Uninsulated,Uninsulated,Uninsulated,Uninsulated,"Ceiling R-13, Vented",Uninsulated,Uninsulated,100% Incandescent,USA_NC_Charlotte-Douglas.Intl.AP.723140_TMY3.epw,CR09,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"Year-Round, 3 days/wk",Left/Right at 15ft,Auto,East,None,100%,EF 15.9,"Asphalt Shingles, Medium",3/4 in. OSB,1/2 in. Drywall,1/2 in. Drywall,Wood Surface,Standard,1/2 in. Drywall,Uninsulated,Medium,1970s,1/2 in. OSB,Electric Standard,F15 B15 L15 R15,"Clear, Single, Metal",1941.6666666666667,350.0,1202.7777777777778,4552.777777777778,5119.444444444444,1772.2222222222222,0.0,2783.3333333333335,0.0,3.0,0.0,7.108628402349879,0.0,0.0,0.0,0.0,17719.444444444445,61.1721169450215,7.108628402349879,0.0
diag Autogenerated 503,026b7599-e5de-408a-8fc3-4abde8de983e,2016-08-25T21:13:25Z,2016-08-25T21:16:17Z,completed,completed normal,503.0,1.0,"30% Leakage, R-4 Ducts; 10 ACH50; Year-Round, 3 days/wk NatVent; No MechVent","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",FIXME Location Average,"290 Rated kWh, 100% Usage",20 ft^2,Fiberglass,"30% Leakage, R-4",2 ft,"Vinyl, Light",80% Carpet,3/4 in. OSB,2500-3499 sqft; 1 Story; Slab Foundation; No Garage,Slab,No,2500-3499,1,None,"AC, SEER 10","Gas Furnace, 80% AFUE",No,Natural Gas,FIXME Location Average,"Uninsulated, TrunkBranch, Copper",100%,10 ACH50,"Ceiling R-19, Vented",Wall R-10,R-19,R-11,"2ft R5 Perimeter, R5 Gap","Ceiling R-30, Vented",Uninsulated,R-11,100% Incandescent,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,CR09,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"Year-Round, 3 days/wk",Left/Right at 15ft,Auto,East,None,100%,EF 15.9,"Asphalt Shingles, Medium",3/4 in. OSB,1/2 in. Drywall,1/2 in. Drywall,Wood Surface,Standard,1/2 in. Drywall,Uninsulated,Medium,1980s,1/2 in. OSB,Electric Standard,F15 B15 L15 R15,"Low-E, Double, Non-metal, Air, L-Gain",5605.555555555556,522.2222222222223,1388.888888888889,0.0,5900.0,2358.3333333333335,0.0,2913.888888888889,283.5,368.0,563.5720597382984,8.625135794851186,0.0,0.0,0.0,0.0,18691.666666666668,120.98885540799493,572.1024138211183,0.0
diag Autogenerated 372,029ccc68-518c-4f82-abde-680f7b0b4fa6,2016-08-25T21:08:21Z,2016-08-25T21:12:35Z,completed,completed normal,372.0,1.0,"10% Leakage, Uninsulated Ducts; 15 ACH50; Year-Round, 3 days/wk NatVent; No MechVent","Gas, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",FIXME Location Average,"290 Rated kWh, 100% Usage",20 ft^2,Fiberglass,"10% Leakage, Uninsulated",2 ft,"Vinyl, Light",80% Carpet,3/4 in. OSB,2500-3499 sqft; 2 Stories; Unheated Basement Foundation; No Garage,Unheated Basement,No,2500-3499,2,None,"Room AC, EER 10.7","Gas Furnace, 80% AFUE",No,Natural Gas,FIXME Location Average,"Uninsulated, TrunkBranch, Copper",100%,15 ACH50,"Uninsulated, Vented",Uninsulated,Uninsulated,Uninsulated,Uninsulated,"Ceiling R-30, Vented",Uninsulated,Uninsulated,100% Incandescent,USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw,CR07,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"Year-Round, 3 days/wk",Left/Right at 15ft,Auto,South,None,100%,EF 15.9,"Asphalt Shingles, Medium",3/4 in. OSB,1/2 in. Drywall,1/2 in. Drywall,Wood Surface,Standard,1/2 in. Drywall,Uninsulated,Medium,<1950,1/2 in. OSB,Gas Standard,F15 B15 L15 R15,"Low-E, Double, Non-metal, Air, L-Gain",2413.888888888889,522.2222222222223,3697.222222222222,0.0,4305.555555555556,2358.3333333333335,0.0,0.0,0.0,0.33,2207.5608549217473,84.73485055601056,186.62519098969216,0.0,0.0,0.0,13300.0,293.2735733673466,2478.9208964674503,0.0
